Binomial,ID,Group,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
SBA,11,Seabirds,1563.722866,1556.458647,1549.267584,1541.290887,1528.918563,1519.202903,1517.143215,1507.645706,1501.465365,1495.147176,1486.927358,1488.092602,1482.567573,1484.539445,1491.796088,1499.853507,1502.477053,1498.957173,1488.070823,1489.163709,1489.510683,1471.827596,1462.888598,1447.339688,1445.767173,1444.644451,1425.922633,1408.358718,1395.047835,1377.726072,1354.921961,1335.797917,1320.122813,1302.262419,1282.265016,1271.036918,1268.699139,1252.775905,1237.200483,1221.704993,1215.828255,1216.24848,1208.781435,1198.615655,1194.696675,1195.921032,1189.47609,1189.232264,1193.524901,1194.997546,1190.628287,1185.094936,1183.025649,1179.762694,1170.476443,1163.197916,1155.13949,1148.846991,1146.567477,1144.914034,1139.275957,1132.24291,1134.013287,1129.008548,1127.04614,1120.66472,1127.054244,1124.658832,1126.588835,1124.879449,1122.572204,1118.741312,1120.406058,1118.960234,1116.19901,1117.670713,1120.915272,1116.317483,1111.471282,1112.006916,1114.840697,1113.976437,1109.530058,1105.920593,1097.65088,1095.711714,1097.470628,1094.600197,1094.657759
SBB,12,Seabirds,16705.02911,16860.30567,17080.52782,17226.32514,17316.73059,17339.1859,17447.40605,17459.42768,17456.96429,17485.7335,17481.28737,17485.23464,17402.10041,17372.24937,17418.41181,17488.61219,17547.1563,17565.31258,17516.60467,17554.11399,17521.19749,17210.83137,16945.36009,16793.66832,16671.99819,16563.01677,16585.03574,16594.12712,16566.75616,16524.58126,16473.08016,16510.17727,16523.19617,16579.22397,16602.68742,16703.54745,16808.51842,16779.6024,16784.73732,16704.1537,16678.14205,16700.35973,16680.02425,16628.19751,16604.50111,16606.09065,16594.19145,16604.71648,16744.33078,16802.14707,16815.05604,16779.62138,16814.8925,16795.68344,16650.53336,16456.22546,16306.61481,16230.7908,16191.20343,16129.02077,16065.49632,16058.40921,16127.53448,16098.51524,16093.57449,16069.21961,16154.96823,16115.00677,16128.34662,16088.55382,16109.30778,16107.88561,16128.67133,16079.32635,16005.62888,16058.08137,16079.44359,16029.1648,15988.37154,15972.05412,16034.60072,16028.16648,15940.15398,15901.13729,15860.01187,15836.92124,15843.71144,15861.95029,15947.13026
SHO,13,Sharks and Rays,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.39639,23110.98482,22869.26675,22619.16467,22644.09211,22769.66258,22573.07251,22320.69332,22213.7484,22260.6757,22035.32197,22022.48119,22131.53292,22142.00065,21993.42162,21874.50096,21881.72098,21838.08352,21634.26026,21511.68518,21357.97776,21241.83783,21260.91957,21290.4835,21169.99493,20998.21515,21146.33044,21067.75789,21088.25165,20956.02927,21236.77253,21202.17931,21296.39895,21265.89218,21210.92772,21095.68577,21154.10823,21069.54065,20956.53918,20990.08787,21082.79687,20912.90184,20781.59545,20802.20764,20937.66038,20935.42401,20832.85387,20785.9023,20616.46803,20643.58146,20768.23418,20709.01518,20736.09163
SHO1,14,Sharks and Rays,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.39639,23110.98482,22869.26675,22619.16467,22644.09211,22769.66258,22573.07251,22320.69332,22213.7484,22260.6757,22035.32197,22022.48119,22131.53292,22142.00065,21993.42162,21874.50096,21881.72098,21838.08352,21634.26026,21511.68518,21357.97776,21241.83783,21260.91957,21290.4835,21169.99493,20998.21515,21146.33044,21067.75789,21088.25165,20956.02927,21236.77253,21202.17931,21296.39895,21265.89218,21210.92772,21095.68577,21154.10823,21069.54065,20956.53918,20990.08787,21082.79687,20912.90184,20781.59545,20802.20764,20937.66038,20935.42401,20832.85387,20785.9023,20616.46803,20643.58146,20768.23418,20709.01518,20736.09163
SHO2,15,Sharks and Rays,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.39639,23110.98482,22869.26675,22619.16467,22644.09211,22769.66258,22573.07251,22320.69332,22213.7484,22260.6757,22035.32197,22022.48119,22131.53292,22142.00065,21993.42162,21874.50096,21881.72098,21838.08352,21634.26026,21511.68518,21357.97776,21241.83783,21260.91957,21290.4835,21169.99493,20998.21515,21146.33044,21067.75789,21088.25165,20956.02927,21236.77253,21202.17931,21296.39895,21265.89218,21210.92772,21095.68577,21154.10823,21069.54065,20956.53918,20990.08787,21082.79687,20912.90184,20781.59545,20802.20764,20937.66038,20935.42401,20832.85387,20785.9023,20616.46803,20643.58146,20768.23418,20709.01518,20736.09163
DEO,16,Demersal Fish,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1362106.771,1346903.203,1341275.519,1331625.24,1334259.585,1331063.93,1330418.099,1335776.933,1337415.023,1345288.838,1347193.116,1354657.701,1382757.462,1388010.86,1388244.491,1383236.101,1386376.021,1385157.643,1380634.145,1375989.862,1378567.724,1377271.873,1377887.638,1375566.566,1375845.304,1383115.472,1401910.62,1400239.442,1397062.573,1396368.983,1399127.408,1399934.964,1406175.793,1413941.171,1417158.361,1414723.388,1413412.026,1412047.957,1415152.716,1429213.705,1446005.988,1439503.488,1439832.287,1440965.561,1439304.358,1436129.873,1428570.161,1432760.924,1433620.578,1434642.081,1433971.21,1430945.172,1432735.291
DEO1,17,Demersal Fish,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1362106.771,1346903.203,1341275.519,1331625.24,1334259.585,1331063.93,1330418.099,1335776.933,1337415.023,1345288.838,1347193.116,1354657.701,1382757.462,1388010.86,1388244.491,1383236.101,1386376.021,1385157.643,1380634.145,1375989.862,1378567.724,1377271.873,1377887.638,1375566.566,1375845.304,1383115.472,1401910.62,1400239.442,1397062.573,1396368.983,1399127.408,1399934.964,1406175.793,1413941.171,1417158.361,1414723.388,1413412.026,1412047.957,1415152.716,1429213.705,1446005.988,1439503.488,1439832.287,1440965.561,1439304.358,1436129.873,1428570.161,1432760.924,1433620.578,1434642.081,1433971.21,1430945.172,1432735.291
PEL,18,Pelagic Fish,1271226.952,1278799.368,1298546.914,1320486.345,1341272.276,1352172.313,1463855.675,1551675.555,1474029.058,1434740.841,1427653.926,1415148.532,1402611.53,1397589.62,1450390.628,1472271.824,1432142.107,1413995.09,1393977.059,1375977.959,1371353.408,1385118.77,1410602.226,1400418.269,1394813.117,1396270.919,1392174.912,1390321.857,1390598.44,1386460.361,1382586.917,1388235.296,1385722.154,1393896.042,1441364.571,1439818.968,1420839.89,1415725.918,1412390.677,1409723.086,1415333.786,1447213.846,1439082.924,1414171.848,1403707.36,1389571.524,1377182.967,1369645.457,1369385.344,1376294.35,1377281.291,1373846.557,1375143.196,1382482.633,1419055.09,1413976.149,1384441.448,1371548.413,1361376.424,1349675.612,1345961.12,1342931.109,1341562.682,1343597.613,1341841.235,1337088.11,1338494.734,1341957.178,1377326.249,1388742.95,1370680.312,1361848.877,1348760.154,1339782.013,1336093.389,1337620.941,1349116.272,1352738.545,1354372.79,1350513.409,1353070.611,1351824.156,1348319.949,1343459.569,1338135.5,1334457.277,1329282.738,1321641.349,1311573.374
PES,19,Pelagic Fish,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,863041.4764,867836.5442,863714.4524,849952.2216,831684.6058,817840.6579,795194.2,771827.3106,750982.7826,725455.4134,699977.9975,681197.3831,667036.5986,656954.5163,642451.797,622754.5584,600207.1619,573957.2672,538530.5479,505672.836,469894.0949,441473.0875,413605.9448,389550.7337,368239.4428,363889.6272,364572.0888,360563.6987,352405.1507,343593.7232,326132.2913,304120.9768,282028.2776,269728.3227,262082.1493,257074.8303,246986.1985,237175.8064,223594.2171,222370.6505,224487.5068,225224.1636,224612.0964,233405.7293,239823.6076,237542.5733,225511.0477,210330.7738,199607.7803,189544.6776,180121.0203,171752.0777,167837.6798
PES1,20,Pelagic Fish,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,863041.4764,867836.5442,863714.4524,849952.2216,831684.6058,817840.6579,795194.2,771827.3106,750982.7826,725455.4134,699977.9975,681197.3831,667036.5986,656954.5163,642451.797,622754.5584,600207.1619,573957.2672,538530.5479,505672.836,469894.0949,441473.0875,413605.9448,389550.7337,368239.4428,363889.6272,364572.0888,360563.6987,352405.1507,343593.7232,326132.2913,304120.9768,282028.2776,269728.3227,262082.1493,257074.8303,246986.1985,237175.8064,223594.2171,222370.6505,224487.5068,225224.1636,224612.0964,233405.7293,239823.6076,237542.5733,225511.0477,210330.7738,199607.7803,189544.6776,180121.0203,171752.0777,167837.6798
