sciname,iucn_sid,rgn_id,rgn_name
Mareca penelope,22680157,44,Norwegian Sea
Melanitta fusca,22724836,44,Norwegian Sea
Melanitta nigra,22724879,44,Norwegian Sea
Mergus merganser,22680492,44,Norwegian Sea
Mergus serrator,22680485,44,Norwegian Sea
Morus bassanus,22696657,44,Norwegian Sea
Numenius arquata,22693190,44,Norwegian Sea
Numenius phaeopus,22693178,44,Norwegian Sea
Oenanthe oenanthe,22710272,44,Norwegian Sea
Pagophila eburnea,22694473,44,Norwegian Sea
Parus palustris,22735995,44,Norwegian Sea
Phalacrocorax aristotelis,22696894,44,Norwegian Sea
Phalacrocorax carbo,22696792,44,Norwegian Sea
Phalaropus lobatus,22693490,44,Norwegian Sea
Pinguinus impennis,22694856,44,Norwegian Sea
Plectrophenax nivalis,22721043,44,Norwegian Sea
Pluvialis apricaria,22693727,44,Norwegian Sea
Pluvialis squatarola,22693749,44,Norwegian Sea
Podiceps auritus,22696606,44,Norwegian Sea
Podiceps grisegena,22696599,44,Norwegian Sea
Puffinus mauretanicus,22728432,44,Norwegian Sea
Puffinus puffinus,22698226,44,Norwegian Sea
Rhodostethia rosea,22694476,44,Norwegian Sea
Rissa tridactyla,22694497,44,Norwegian Sea
Somateria mollissima,22680405,44,Norwegian Sea
Somateria spectabilis,22680409,44,Norwegian Sea
Spatula clypeata,22680247,44,Norwegian Sea
Spatula querquedula,22680313,44,Norwegian Sea
Stercorarius longicaudus,22694251,44,Norwegian Sea
Stercorarius parasiticus,22694245,44,Norwegian Sea
Stercorarius pomarinus,22694240,44,Norwegian Sea
Sterna hirundo,22694623,44,Norwegian Sea
Sterna paradisaea,22694629,44,Norwegian Sea
Sturnus vulgaris,22710886,44,Norwegian Sea
Tadorna tadorna,22680024,44,Norwegian Sea
Tringa nebularia,22693220,44,Norwegian Sea
Tringa totanus,22693211,44,Norwegian Sea
Uria aalge,22694841,44,Norwegian Sea
Uria lomvia,22694847,44,Norwegian Sea
Vanellus vanellus,22693949,44,Norwegian Sea
Xema sabini,22694479,44,Norwegian Sea
Scartella cristata,198632,44,Norwegian Sea
Lipophrys pholis,185180,44,Norwegian Sea
Stereomastis sculpta,185012,44,Norwegian Sea
Homarus gammarus,169955,44,Norwegian Sea
Nephrops norvegicus,169967,44,Norwegian Sea
Stereomastis nana,185000,44,Norwegian Sea
Ziphius cavirostris,23211,44,Norwegian Sea
Phocoena phocoena,17027,44,Norwegian Sea
Balaenoptera acutorostrata,2474,44,Norwegian Sea
Phoca vitulina,17013,44,Norwegian Sea
Pseudorca crassidens,18596,44,Norwegian Sea
Globicephala melas,9250,44,Norwegian Sea
Lagenorhynchus acutus,11141,44,Norwegian Sea
Delphinus delphis,6336,44,Norwegian Sea
Cystophora cristata,6204,44,Norwegian Sea
Physeter macrocephalus,41755,44,Norwegian Sea
Delphinapterus leucas,6335,44,Norwegian Sea
Tursiops truncatus,22563,44,Norwegian Sea
Stenella coeruleoalba,20731,44,Norwegian Sea
Odobenus rosmarus,15106,44,Norwegian Sea
Halichoerus grypus,9660,44,Norwegian Sea
Grampus griseus,9461,44,Norwegian Sea
Erignathus barbatus,8010,44,Norwegian Sea
Balaenoptera musculus,2477,44,Norwegian Sea
Megaptera novaeangliae,13006,44,Norwegian Sea
Balaenoptera physalus,2478,44,Norwegian Sea
Balaenoptera borealis,2475,44,Norwegian Sea
Pagophilus groenlandicus,41671,44,Norwegian Sea
Eschrichtius robustus,8097,44,Norwegian Sea
Lagenorhynchus albirostris,11142,44,Norwegian Sea
Eubalaena glacialis,41712,44,Norwegian Sea
Pusa hispida,41672,44,Norwegian Sea
Mesoplodon bidens,13241,44,Norwegian Sea
Monodon monoceros,13704,44,Norwegian Sea
