am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score
NA,NA,Oenanthe oenanthe,22710272,Decreasing,LC,BOTW,22710272,NA,iucn-bli,0,-0.5
NA,NA,Parus palustris,22735995,Decreasing,LC,BOTW,22735995,NA,iucn-bli,0,-0.5
NA,NA,Phalaropus fulicarius,22693494,Decreasing,LC,BOTW,22693494,NA,iucn-bli,0,-0.5
NA,NA,Phalaropus lobatus,22693490,Decreasing,LC,BOTW,22693490,NA,iucn-bli,0,-0.5
NA,NA,Plectrophenax nivalis,22721043,Decreasing,LC,BOTW,22721043,NA,iucn-bli,0,-0.5
NA,NA,Pluvialis apricaria,22693727,Decreasing,LC,BOTW,22693727,NA,iucn-bli,0,-0.5
NA,NA,Pluvialis squatarola,22693749,Decreasing,LC,BOTW,22693749,NA,iucn-bli,0,-0.5
NA,NA,Podiceps grisegena,22696599,Decreasing,LC,BOTW,22696599,NA,iucn-bli,0,-0.5
NA,NA,Sturnus vulgaris,22710886,Decreasing,LC,BOTW,22710886,NA,iucn-bli,0,-0.5
NA,NA,Tadorna tadorna,22680024,Increasing,LC,BOTW,22680024,NA,iucn-bli,0,0.5
NA,NA,Xenus cinereus,22693251,Stable,LC,BOTW,22693251,NA,iucn-bli,0,0
NA,NA,Tringa erythropus,22693207,Stable,LC,BOTW,22693207,NA,iucn-bli,0,0
NA,NA,Tringa nebularia,22693220,Stable,LC,BOTW,22693220,NA,iucn-bli,0,0
NA,NA,Tringa totanus,22693211,Unknown,LC,BOTW,22693211,NA,iucn-bli,0,NA
Fis-27330,NA,Lipophrys pholis,185180,Unknown,LC,COMBTOOTHBLENNIES,185180,NA,iucn,0,NA
Fis-49149,NA,Parablennius ruber,185162,Stable,LC,COMBTOOTHBLENNIES,185162,NA,iucn,0,0
Fis-24942,NA,Scartella cristata,198632,Stable,LC,COMBTOOTHBLENNIES,198632,NA,iucn,0,0
ITS-660111,LC,Pentacheles snyderi,185061,Unknown,LC,LOBSTERS,185061,NA,iucn,0,NA
ITS-97315,LC,Homarus gammarus,169955,Stable,LC,LOBSTERS,169955,NA,iucn,0,0
ITS-97317,LC,Nephrops norvegicus,169967,Stable,LC,LOBSTERS,169967,NA,iucn,0,0
ITS-552917,LC,Nephropsis atlantica,170044,Unknown,LC,LOBSTERS,170044,NA,iucn,0,NA
ITS-660110,LC,Pentacheles laevis,185038,Stable,LC,LOBSTERS,185038,NA,iucn,0,0
ITS-97688,LC,Polycheles typhlops,185026,Stable,LC,LOBSTERS,185026,NA,iucn,0,0
NA,NA,Stereomastis nana,185000,Stable,LC,LOBSTERS,185000,NA,iucn,0,0
NA,NA,Stereomastis sculpta,185037,Stable,LC,LOBSTERS,185037,NA,iucn,0,0
ITS-Mam-180524,LC,Balaenoptera acutorostrata,2474,Stable,LC,MARINE_MAMMALS_update,2474,NA,iucn,0,0
ITS-Mam-180438,LC,Delphinus delphis,6336,Unknown,LC,MARINE_MAMMALS_update,6336,NA,iucn,0,NA
ITS-Mam-180655,LC,Erignathus barbatus,8010,Stable,LC,MARINE_MAMMALS_update,8010,NA,iucn,0,0
ITS-Mam-180521,LC,Eschrichtius robustus,8097,Stable,LC,MARINE_MAMMALS_update,8097,NA,iucn,0,0
ITS-Mam-180457,LC,Grampus griseus,9461,Unknown,LC,MARINE_MAMMALS_update,9461,NA,iucn,0,NA
ITS-Mam-180653,LC,Halichoerus grypus,9660,Increasing,LC,MARINE_MAMMALS_update,9660,NA,iucn,0,0.5
ITS-Mam-180443,LC,Lagenorhynchus acutus,11141,Unknown,LC,MARINE_MAMMALS_update,11141,NA,iucn,0,NA
ITS-Mam-180442,LC,Lagenorhynchus albirostris,11142,Unknown,LC,MARINE_MAMMALS_update,11142,NA,iucn,0,NA
ITS-Mam-180530,LC,Megaptera novaeangliae,13006,Increasing,LC,MARINE_MAMMALS_update,13006,NA,iucn,0,0.5
ITS-Mam-622022,LC,Pagophilus groenlandicus,41671,Increasing,LC,MARINE_MAMMALS_update,41671,NA,iucn,0,0.5
ITS-Mam-180649,LC,Phoca vitulina,17013,Stable,LC,MARINE_MAMMALS_update,17013,NA,iucn,0,0
ITS-Mam-180473,LC,Phocoena phocoena,17027,Unknown,LC,MARINE_MAMMALS_update,17027,NA,iucn,0,NA
ITS-Mam-622018,LC,Pusa hispida,41672,Unknown,LC,MARINE_MAMMALS_update,41672,NA,iucn,0,NA
ITS-Mam-180434,LC,Stenella coeruleoalba,20731,Unknown,LC,MARINE_MAMMALS_update,20731,NA,iucn,0,NA
ITS-Mam-180426,LC,Tursiops truncatus,22563,Unknown,LC,MARINE_MAMMALS_update,22563,NA,iucn,0,NA
ITS-Mam-180498,LC,Ziphius cavirostris,23211,Unknown,LC,MARINE_MAMMALS_update,23211,NA,iucn,0,NA
Fis-136019,NA,Lagocephalus lagocephalus,190464,Unknown,LC,PUFFERFISH,190464,NA,iucn,0,NA
Fis-22849,NA,Boops boops,170251,Stable,LC,SEABREAMS_PORGIES,170251,NA,iucn,0,0
Fis-6123,NA,Sparus aurata,170253,Stable,LC,SEABREAMS_PORGIES,170253,NA,iucn,0,0
Fis-23826,NA,Spondyliosoma cantharus,170258,Unknown,LC,SEABREAMS_PORGIES,170258,NA,iucn,0,NA
SLB-66024,LC,Holothuria tubulosa,180455,Unknown,LC,SEACUCUMBERS,180455,NA,iucn,0,NA
NA,NA,Bathyplotes natans,180452,Stable,LC,SEACUCUMBERS,180452,NA,iucn,0,0
NA,NA,Mesothuria intestinalis,180540,Unknown,LC,SEACUCUMBERS,180540,NA,iucn,0,NA
NA,NA,Mesothuria lactea,180468,Unknown,LC,SEACUCUMBERS,180468,NA,iucn,0,NA
NA,NA,Holothuria forskali,180297,Unknown,LC,SEACUCUMBERS,180297,NA,iucn,0,NA
NA,NA,Zostera noltii,173361,Decreasing,LC,SEAGRASSES,173361,NA,iucn,0,-0.5
NA,NA,Zostera marina,153538,Decreasing,LC,SEAGRASSES,153538,NA,iucn,0,-0.5
NA,NA,Vulpes lagopus,899,Stable,LC,TERRESTRIAL_MAMMALS,899,NA,iucn,0,0
Fis-22777,LC,Katsuwonus pelamis,170310,Stable,LC,TUNAS_BILLFISHES,170310,NA,iucn,0,0
Fis-22818,LC,Sarda sarda,155096,Stable,LC,TUNAS_BILLFISHES,155096,NA,iucn,0,0
Fis-29508,LC,Scomber scombrus,170354,Decreasing,LC,TUNAS_BILLFISHES,170354,NA,iucn,0,-0.5
Fis-29576,LC,Xiphias gladius,23148,Decreasing,LC,TUNAS_BILLFISHES,23148,NA,iucn,0,-0.5
Fis-22735,LC,Acanthocybium solandri,170331,Stable,LC,TUNAS_BILLFISHES,170331,NA,iucn,0,0
Fis-26619,LC,Acantholabrus palloni,186106,Unknown,LC,WRASSE,186106,NA,iucn,0,NA
Fis-22745,LC,Centrolabrus exoletus,187803,Unknown,LC,WRASSE,187803,NA,iucn,0,NA
Fis-22750,LC,Coris julis,187752,Stable,LC,WRASSE,187752,NA,iucn,0,0
Fis-22752,LC,Ctenolabrus rupestris,187751,Stable,LC,WRASSE,187751,NA,iucn,0,0
Fis-29425,LC,Labrus bergylta,187398,Unknown,LC,WRASSE,187398,NA,iucn,0,NA
Fis-3208,LC,Labrus mixtus,187397,Stable,LC,WRASSE,187397,NA,iucn,0,0
Fis-27320,LC,Symphodus bailloni,187522,Unknown,LC,WRASSE,187522,NA,iucn,0,NA
Fis-22769,LC,Symphodus melops,187748,Stable,LC,WRASSE,187748,NA,iucn,0,0
Fis-22710,NA,Agonus cataphractus,18227168,Increasing,LC,NA,NA,NA,am,0,0.5
