"","species","pop_cat","ohi_present","group","n_cat"
"174","Myoxocephalus scorpius",NA,"Y","Fishes","LC"
"175","Nansenia groenlandica",NA,"Y","Fishes",NA
"176","Nerophis ophidion","LC","Y","Fishes","LC"
"177","Phycis blennoides",NA,"Y","Fishes","LC"
"178","Platichthys flesus","LC","Y","Fishes","LC"
"179","Pollachius virens",NA,"Y","Fishes","LC"
"180","Pomatoschistus microps","LC","Y","Fishes","LC"
"181","Pomatoschistus minutus","LC","Y","Fishes","LC"
"182","Pomatoschistus norvegicus","LC","Y","Fishes","LC"
"183","Pomatoschistus pictus","LC","Y","Fishes","LC"
"184","Raniceps raninus","LC","Y","Fishes","LC"
"185","Ranzania laevis","LC","Y",NA,NA
"186","Sardina pilchardus","LC","Y","Fishes",NA
"187","Spinachia spinachia","LC","Y","Fishes","LC"
"188","Spondyliosoma cantharus","LC","Y","Fishes",NA
"189","Sprattus sprattus",NA,"Y","Fishes","NT"
"190","Stomias boa boa",NA,"Y",NA,NA
"191","Taurulus bubalis","LC","Y","Fishes","LC"
"192","Trachinotus ovatus","LC","Y","Fishes",NA
"193","Trachurus trachurus","VU","Y","Fishes","LC"
"194","Trisopterus esmarkii","LC","Y","Fishes","LC"
"195","Trisopterus luscus",NA,"Y","Fishes",NA
"196","Zeugopterus punctatus",NA,"Y","Fishes","LC"
"197","Zu cristatus","LC","Y",NA,NA
"198","Alopias vulpinus","VU","Y","Fishes",NA
"199","Anoplogaster cornuta","LC","Y",NA,NA
"200","Antimora rostrata","LC","Y",NA,NA
"201","Argentina silus",NA,"Y","Fishes","LC"
"202","Chelon labrosus","LC","Y","Fishes",NA
"203","Epigonus telescopus","LC","Y","Fishes",NA
"204","Lepidion eques","DD","Y",NA,NA
"205","Phrynorhombus norvegicus","LC","Y","Fishes","LC"
"206","Acantholumpenus mackayi",NA,"Y",NA,NA
"207","Leptagonus decagonus",NA,"Y","Fishes","LC"
"208","Artediellus uncinatus",NA,"Y",NA,NA
"209","Enophrys diceraus",NA,"Y",NA,NA
"210","Eumesogrammus praecisus",NA,"Y",NA,NA
"211","Eumicrotremus spinosus",NA,"Y","Fishes","LC"
"212","Gymnocanthus tricuspis",NA,"Y","Fishes","LC"
"213","Hippoglossoides platessoides",NA,"Y","Fishes","LC"
"214","Icelus bicornis",NA,"Y","Fishes","LC"
"215","Liopsetta glacialis","LC","Y",NA,NA
"216","Lumpenus fabricii",NA,"Y","Fishes",NA
"217","Anisarchus medius",NA,"Y","Fishes","LC"
"218","Lycodes polaris",NA,"Y",NA,NA
"219","Megalocottus platycephalus",NA,"Y",NA,NA
"220","Hemilepidotus papilio","LC","Y",NA,NA
"221","Stephanolepis hispidus","LC","Y",NA,NA
"222","Myoxocephalus quadricornis","LC","Y",NA,NA
"223","Myoxocephalus scorpioides",NA,"Y",NA,NA
"224","Pholis gunnellus",NA,"Y","Fishes","LC"
"225","Pungitius pungitius","LC","Y","Fishes","LC"
"226","Remora brachyptera","LC","Y",NA,NA
"227","Scartella cristata","LC","Y",NA,NA
"228","Trachipterus arcticus",NA,"Y","Fishes",NA
"229","Lampetra fluviatilis","LC","Y","Fishes","LC"
"230","Hygophum reinhardtii","LC","Y",NA,NA
"231","Galeorhinus galeus","VU","Y","Fishes",NA
"232","Citharus linguatula","LC","Y",NA,NA
"233","Malacocephalus laevis","LC","Y","Fishes",NA
"234","Nezumia aequalis","LC","Y",NA,NA
"235","Polymetme corythaeola",NA,"Y",NA,NA
"236","Xenodermichthys copei","LC","Y",NA,NA
"237","Borostomias antarcticus","LC","Y",NA,NA
"238","Poromitra crassiceps","LC","Y",NA,NA
"239","Coryphaenoides armatus","LC","Y",NA,NA
"240","Alosa fallax","LC","Y",NA,NA
"241","Polyacanthonotus challengeri","LC","Y",NA,NA
"242","Histiobranchus bathybius","DD","Y",NA,NA
"243","Rouleina attrita","LC","Y",NA,NA
"244","Aldrovandia affinis","LC","Y",NA,NA
"245","Trachonurus villosus",NA,"Y",NA,NA
"246","Nerophis lumbriciformis","LC","Y","Fishes","LC"
"247","Acantholabrus palloni","LC","Y","Fishes","LC"
"248","Lesueurigobius friesii","LC","Y","Fishes","LC"
"249","Coryphaenoides guentheri","LC","Y",NA,NA
"250","Gaidropsarus argentatus",NA,"Y","Fishes","LC"
"251","Benthodesmus simonyi",NA,"Y","Fishes",NA
"252","Lamprogrammus brunswigi","LC","Y",NA,NA
"253","Benthocometes robustus","LC","Y",NA,NA
"254","Penopus microphthalmus","LC","Y",NA,NA
"255","Cataetyx bruuni","LC","Y",NA,NA
"256","Hydrolagus mirabilis","NT","Y",NA,NA
"257","Aldrovandia phalacra","LC","Y",NA,NA
"258","Gymnothorax maderensis","LC","Y",NA,NA
"259","Diretmoides pauciradiatus","LC","Y",NA,NA
"260","Scopelogadus beanii","DD","Y",NA,NA
"261","Venefica proboscidea","LC","Y",NA,NA
"262","Nessorhamphus ingolfianus","LC","Y",NA,NA
"263","Dysomma brevirostre","LC","Y",NA,NA
"264","Saccopharynx ampullaceus","LC","Y",NA,NA
"265","Scopelosaurus lepidus","LC","Y",NA,NA
"266","Symphodus bailloni","LC","Y",NA,NA
"267","Lipophrys pholis","LC","Y","Fishes","LC"
"268","Bajacalifornia megalops","LC","Y",NA,NA
"269","Herwigia kreffti","LC","Y",NA,NA
"270","Barbantus curvifrons","LC","Y",NA,NA
"271","Holtbyrnia innesi","LC","Y",NA,NA
"272","Sagamichthys schnakenbecki","LC","Y",NA,NA
"273","Valenciennellus tripunctulatus","LC","Y",NA,NA
"274","Rhadinesthes decimus","LC","Y",NA,NA
"275","Alepisaurus ferox","LC","Y",NA,NA
"276","Alepocephalus bairdii","DD","Y",NA,NA
"277","Ammodytes marinus",NA,"Y","Fishes","LC"
"278","Ammodytes tobianus","DD","Y","Fishes","LC"
"279","Aphanopus carbo",NA,"Y","Fishes",NA
"280","Argentina sphyraena",NA,"Y","Fishes","LC"
"281","Callionymus lyra","LC","Y","Fishes","LC"
"282","Centroscymnus coelolepis","NT","Y",NA,NA
"283","Chlamydoselachus anguineus","NT","Y","Fishes",NA
"284","Clupea harengus","LC","Y","Fishes","LC"
"285","Coryphaenoides rupestris","CR","Y","Fishes","LC"
"286","Cyclopterus lumpus",NA,"Y","Fishes","LC"
"287","Etmopterus princeps","DD","Y",NA,NA
"288","Gadus morhua","VU","Y","Fishes","LC"
"289","Gadus ogac",NA,"Y",NA,NA
"290","Galeus melastomus","LC","Y","Fishes","LC"
"291","Hoplostethus atlanticus",NA,"Y",NA,NA
"292","Labrus bergylta","LC","Y","Fishes","LC"
"293","Lophius piscatorius","LC","Y","Fishes","LC"
"294","Macrourus berglax",NA,"Y","Fishes","LC"
"295","Mugil cephalus","LC","Y",NA,NA
"296","Salmo salar","LC","Y","Fishes","LC"
"297","Scomber scombrus","LC","Y","Fishes","LC"
"298","Sebastes mentella","LC","Y","Fishes","LC"
"299","Squalus acanthias","VU","Y","Fishes","EN"
"300","Xiphias gladius","LC","Y","Fishes",NA
"301","Acipenser sturio","CR","Y",NA,NA
"302","Alepisaurus brevirostris","LC","Y",NA,NA
"303","Ammodytes dubius",NA,"Y",NA,NA
"304","Anarhichas denticulatus",NA,"Y","Fishes","NT"
"305","Anarhichas lupus",NA,"Y","Fishes","LC"
"306","Anarhichas minor",NA,"Y","Fishes","LC"
"307","Anotopterus pharao","LC","Y",NA,NA
"308","Beryx decadactylus","LC","Y","Fishes",NA
"309","Callionymus maculatus","LC","Y","Fishes","LC"
"310","Chauliodus sloani","LC","Y","Fishes",NA
"311","Chimaera monstrosa","NT","Y","Fishes","LC"
"312","Coregonus sardinella","LC","Y",NA,NA
"313","Cryptopsaras couesii","LC","Y","Fishes",NA
"314","Cyclothone braueri","LC","Y",NA,NA
"315","Epigonus denticulatus","LC","Y",NA,NA
"316","Euleptorhamphus velox","LC","Y",NA,NA
"317","Gadiculus argenteus",NA,"Y","Fishes","LC"
"318","Gasterosteus aculeatus","LC","Y","Fishes","LC"
"319","Halargyreus johnsonii",NA,"Y",NA,NA
"320","Himantolophus groenlandicus","LC","Y",NA,NA
"321","Lycodes jugoricus","LC","Y",NA,NA
"322","Lycodes palearis",NA,"Y",NA,NA
"323","Lycodes pallidus",NA,"Y","Fishes","LC"
"324","Lycodes reticulatus",NA,"Y","Fishes","LC"
"325","Lycodes rossi",NA,"Y","Fishes","LC"
"326","Lycodes sagittarius",NA,"Y",NA,NA
"327","Lycodes turneri",NA,"Y",NA,NA
"328","Melanostigma atlanticum","LC","Y",NA,NA
"329","Mullus surmuletus","LC","Y","Fishes",NA
"330","Myctophum punctatum","LC","Y","Fishes",NA
"331","Myxine glutinosa","LC","Y","Fishes","LC"
"332","Notacanthus chemnitzii","LC","Y","Fishes",NA
"333","Paralepis coregonoides",NA,"Y","Fishes",NA
"334","Petromyzon marinus","LC","Y","Fishes","NT"
"335","Pleuronectes platessa","LC","Y","Fishes","LC"
"336","Pseudotriakis microdon","LC","Y",NA,NA
"337","Pterycombus brama","LC","Y","Fishes",NA
"338","Raja clavata","NT","Y","Fishes","LC"
"339","Regalecus glesne","LC","Y","Fishes",NA
"340","Schedophilus medusophagus",NA,"Y","Fishes",NA
"341","Sebastes fasciatus","EN","Y",NA,NA
"342","Sebastes viviparus",NA,"Y","Fishes","LC"
"343","Syngnathus acus","LC","Y","Fishes","LC"
"344","Syngnathus rostellatus","LC","Y","Fishes","LC"
"345","Syngnathus typhle","LC","Y","Fishes","LC"
"346","Taractes asper",NA,"Y","Fishes",NA
"347","Tetragonurus cuvieri","LC","Y",NA,NA
"348","Trachinus draco","LC","Y","Fishes","LC"
"349","Uroconger syringinus","LC","Y",NA,NA
