rgn_id,rgn_name,loiczid,proportionArea,csquarecode,cellarea
1,Barents Sea,10507,1,1803:123:3,390.08
1,Barents Sea,10508,1,1803:123:4,390.08
1,Barents Sea,10509,1,1803:124:3,390.08
1,Barents Sea,10510,1,1803:124:4,390.08
1,Barents Sea,10511,1,1803:225:3,390.08
1,Barents Sea,10512,1,1803:225:4,390.08
1,Barents Sea,10513,1,1803:226:3,390.08
1,Barents Sea,10514,1,1803:226:4,390.08
1,Barents Sea,10515,1,1803:227:3,390.08
1,Barents Sea,10516,1,1803:227:4,390.08
1,Barents Sea,10517,1,1803:228:3,390.08
1,Barents Sea,10518,1,1803:228:4,390.08
1,Barents Sea,10519,1,1803:229:3,390.08
1,Barents Sea,10520,1,1803:229:4,390.08
1,Barents Sea,10521,1,1804:120:3,390.08
1,Barents Sea,10522,1,1804:120:4,390.08
1,Barents Sea,10523,1,1804:121:3,390.08
1,Barents Sea,10524,1,1804:121:4,390.08
1,Barents Sea,10525,1,1804:122:3,390.08
1,Barents Sea,10526,1,1804:122:4,390.08
1,Barents Sea,10527,1,1804:123:3,390.08
1,Barents Sea,10528,1,1804:123:4,390.08
1,Barents Sea,10529,1,1804:124:3,390.08
1,Barents Sea,10530,1,1804:124:4,390.08
1,Barents Sea,10531,1,1804:225:3,390.08
1,Barents Sea,10532,1,1804:225:4,390.08
1,Barents Sea,10533,1,1804:226:3,390.08
1,Barents Sea,10534,1,1804:226:4,390.08
1,Barents Sea,10535,1,1804:227:3,390.08
1,Barents Sea,10536,1,1804:227:4,390.08
1,Barents Sea,10537,1,1804:228:3,390.08
1,Barents Sea,10538,1,1804:228:4,390.08
1,Barents Sea,10539,1,1804:229:3,390.08
1,Barents Sea,10540,1,1804:229:4,390.08
1,Barents Sea,10541,1,1805:120:3,390.08
1,Barents Sea,10542,1,1805:120:4,390.08
1,Barents Sea,10543,1,1805:121:3,390.08
1,Barents Sea,10544,1,1805:121:4,390.08
1,Barents Sea,10545,1,1805:122:3,390.08
1,Barents Sea,10546,1,1805:122:4,390.08
1,Barents Sea,10547,1,1805:123:3,390.08
1,Barents Sea,10548,1,1805:123:4,390.08
1,Barents Sea,10549,1,1805:124:3,390.08
1,Barents Sea,10550,1,1805:124:4,390.08
1,Barents Sea,10551,1,1805:225:3,390.08
1,Barents Sea,10552,1,1805:225:4,390.08
1,Barents Sea,10553,1,1805:226:3,390.08
1,Barents Sea,10554,1,1805:226:4,390.08
1,Barents Sea,10555,1,1805:227:3,390.08
1,Barents Sea,10556,1,1805:227:4,390.08
1,Barents Sea,10557,1,1805:228:3,390.08
1,Barents Sea,10558,1,1805:228:4,390.08
1,Barents Sea,10559,1,1805:229:3,390.08
1,Barents Sea,10560,1,1805:229:4,390.08
1,Barents Sea,10561,1,1806:120:3,390.08
1,Barents Sea,10562,1,1806:120:4,390.08
1,Barents Sea,10563,1,1806:121:3,390.08
1,Barents Sea,10564,1,1806:121:4,390.08
1,Barents Sea,10565,1,1806:122:3,390.08
1,Barents Sea,10566,1,1806:122:4,390.08
1,Barents Sea,10567,1,1806:123:3,390.08
1,Barents Sea,10568,1,1806:123:4,390.08
1,Barents Sea,10569,1,1806:124:3,390.08
1,Barents Sea,10570,1,1806:124:4,390.08
1,Barents Sea,10571,1,1806:225:3,390.08
1,Barents Sea,10572,1,1806:225:4,390.08
1,Barents Sea,10573,0.97,1806:226:3,390.08
1,Barents Sea,10574,0.85,1806:226:4,390.08
1,Barents Sea,10575,0.73,1806:227:3,390.08
1,Barents Sea,10576,0.58,1806:227:4,390.08
1,Barents Sea,10577,0.46,1806:228:3,390.08
1,Barents Sea,10578,0.34,1806:228:4,390.08
1,Barents Sea,11160,0.07,7800:120:1,416.83
1,Barents Sea,11161,0.1,1800:120:1,416.83
1,Barents Sea,11162,0.1,1800:120:2,416.83
1,Barents Sea,11163,0.1,1800:121:1,416.83
1,Barents Sea,11164,0.18,1800:121:2,416.83
1,Barents Sea,11165,0.2,1800:122:1,416.83
1,Barents Sea,11166,0.2,1800:122:2,416.83
1,Barents Sea,11167,0.2,1800:123:1,416.83
1,Barents Sea,11168,0.3,1800:123:2,416.83
1,Barents Sea,11169,0.3,1800:124:1,416.83
1,Barents Sea,11170,0.3,1800:124:2,416.83
1,Barents Sea,11171,0.35,1800:225:1,416.83
1,Barents Sea,11172,0.41,1800:225:2,416.83
1,Barents Sea,11173,0.5,1800:226:1,416.83
1,Barents Sea,11174,0.57,1800:226:2,416.83
1,Barents Sea,11175,0.63,1800:227:1,416.83
1,Barents Sea,11176,0.7,1800:227:2,416.83
1,Barents Sea,11177,0.79,1800:228:1,416.83
1,Barents Sea,11178,0.85,1800:228:2,416.83
1,Barents Sea,11179,0.91,1800:229:1,416.83
1,Barents Sea,11180,1,1800:229:2,416.83
1,Barents Sea,11181,1,1801:120:1,416.83
1,Barents Sea,11182,1,1801:120:2,416.83
1,Barents Sea,11183,1,1801:121:1,416.83
1,Barents Sea,11184,1,1801:121:2,416.83
1,Barents Sea,11185,1,1801:122:1,416.83
1,Barents Sea,11186,1,1801:122:2,416.83
1,Barents Sea,11187,1,1801:123:1,416.83
1,Barents Sea,11188,1,1801:123:2,416.83
1,Barents Sea,11189,1,1801:124:1,416.83
1,Barents Sea,11190,1,1801:124:2,416.83
1,Barents Sea,11191,1,1801:225:1,416.83
1,Barents Sea,11192,1,1801:225:2,416.83
1,Barents Sea,11193,1,1801:226:1,416.83
1,Barents Sea,11194,1,1801:226:2,416.83
1,Barents Sea,11195,1,1801:227:1,416.83
1,Barents Sea,11196,1,1801:227:2,416.83
1,Barents Sea,11197,1,1801:228:1,416.83
1,Barents Sea,11198,1,1801:228:2,416.83
1,Barents Sea,11199,1,1801:229:1,416.83
1,Barents Sea,11200,1,1801:229:2,416.83
1,Barents Sea,11201,1,1802:120:1,416.83
1,Barents Sea,11202,1,1802:120:2,416.83
1,Barents Sea,11203,1,1802:121:1,416.83
1,Barents Sea,11204,1,1802:121:2,416.83
1,Barents Sea,11205,1,1802:122:1,416.83
1,Barents Sea,11206,1,1802:122:2,416.83
1,Barents Sea,11207,1,1802:123:1,416.83
1,Barents Sea,11208,1,1802:123:2,416.83
1,Barents Sea,11209,1,1802:124:1,416.83
1,Barents Sea,11210,1,1802:124:2,416.83
1,Barents Sea,11211,1,1802:225:1,416.83
1,Barents Sea,11212,1,1802:225:2,416.83
1,Barents Sea,11213,1,1802:226:1,416.83
1,Barents Sea,11214,1,1802:226:2,416.83
1,Barents Sea,11215,1,1802:227:1,416.83
1,Barents Sea,11216,1,1802:227:2,416.83
1,Barents Sea,11217,1,1802:228:1,416.83
1,Barents Sea,11218,1,1802:228:2,416.83
1,Barents Sea,11219,1,1802:229:1,416.83
1,Barents Sea,11220,1,1802:229:2,416.83
1,Barents Sea,11221,1,1803:120:1,416.83
1,Barents Sea,11222,1,1803:120:2,416.83
1,Barents Sea,11223,1,1803:121:1,416.83
1,Barents Sea,11224,1,1803:121:2,416.83
1,Barents Sea,11225,1,1803:122:1,416.83
1,Barents Sea,11226,1,1803:122:2,416.83
1,Barents Sea,11227,1,1803:123:1,416.83
1,Barents Sea,11228,1,1803:123:2,416.83
1,Barents Sea,11229,1,1803:124:1,416.83
1,Barents Sea,11230,1,1803:124:2,416.83
1,Barents Sea,11231,1,1803:225:1,416.83
1,Barents Sea,11232,1,1803:225:2,416.83
1,Barents Sea,11233,1,1803:226:1,416.83
1,Barents Sea,11234,1,1803:226:2,416.83
1,Barents Sea,11235,1,1803:227:1,416.83
1,Barents Sea,11236,1,1803:227:2,416.83
1,Barents Sea,11237,1,1803:228:1,416.83
1,Barents Sea,11238,1,1803:228:2,416.83
1,Barents Sea,11239,1,1803:229:1,416.83
1,Barents Sea,11240,1,1803:229:2,416.83
1,Barents Sea,11241,1,1804:120:1,416.83
1,Barents Sea,11242,1,1804:120:2,416.83
1,Barents Sea,11243,1,1804:121:1,416.83
1,Barents Sea,11244,1,1804:121:2,416.83
1,Barents Sea,11245,1,1804:122:1,416.83
1,Barents Sea,11246,1,1804:122:2,416.83
1,Barents Sea,11247,1,1804:123:1,416.83
1,Barents Sea,11248,1,1804:123:2,416.83
1,Barents Sea,11249,1,1804:124:1,416.83
1,Barents Sea,11250,1,1804:124:2,416.83
1,Barents Sea,11251,1,1804:225:1,416.83
1,Barents Sea,11252,1,1804:225:2,416.83
1,Barents Sea,11253,1,1804:226:1,416.83
1,Barents Sea,11254,1,1804:226:2,416.83
1,Barents Sea,11255,1,1804:227:1,416.83
1,Barents Sea,11256,1,1804:227:2,416.83
1,Barents Sea,11257,1,1804:228:1,416.83
1,Barents Sea,11258,1,1804:228:2,416.83
1,Barents Sea,11259,1,1804:229:1,416.83
1,Barents Sea,11260,1,1804:229:2,416.83
1,Barents Sea,11261,1,1805:120:1,416.83
1,Barents Sea,11262,1,1805:120:2,416.83
1,Barents Sea,11263,1,1805:121:1,416.83
1,Barents Sea,11264,1,1805:121:2,416.83
1,Barents Sea,11265,1,1805:122:1,416.83
1,Barents Sea,11266,1,1805:122:2,416.83
1,Barents Sea,11267,1,1805:123:1,416.83
1,Barents Sea,11268,1,1805:123:2,416.83
1,Barents Sea,11269,1,1805:124:1,416.83
1,Barents Sea,11270,1,1805:124:2,416.83
1,Barents Sea,11271,1,1805:225:1,416.83
1,Barents Sea,11272,1,1805:225:2,416.83
1,Barents Sea,11273,1,1805:226:1,416.83
1,Barents Sea,11274,1,1805:226:2,416.83
1,Barents Sea,11275,1,1805:227:1,416.83
1,Barents Sea,11276,1,1805:227:2,416.83
1,Barents Sea,11277,1,1805:228:1,416.83
1,Barents Sea,11278,1,1805:228:2,416.83
1,Barents Sea,11279,1,1805:229:1,416.83
1,Barents Sea,11280,1,1805:229:2,416.83
1,Barents Sea,11281,1,1806:120:1,416.83
1,Barents Sea,11282,1,1806:120:2,416.83
1,Barents Sea,11283,1,1806:121:1,416.83
1,Barents Sea,11284,1,1806:121:2,416.83
1,Barents Sea,11285,1,1806:122:1,416.83
1,Barents Sea,11286,1,1806:122:2,416.83
1,Barents Sea,11287,1,1806:123:1,416.83
1,Barents Sea,11288,1,1806:123:2,416.83
1,Barents Sea,11289,1,1806:124:1,416.83
1,Barents Sea,11290,1,1806:124:2,416.83
1,Barents Sea,11291,1,1806:225:1,416.83
1,Barents Sea,11292,1,1806:225:2,416.83
1,Barents Sea,11293,1,1806:226:1,416.83
1,Barents Sea,11294,1,1806:226:2,416.83
1,Barents Sea,11295,1,1806:227:1,416.83
1,Barents Sea,11296,1,1806:227:2,416.83
1,Barents Sea,11297,1,1806:228:1,416.83
1,Barents Sea,11298,1,1806:228:2,416.83
1,Barents Sea,11299,0.06,1806:229:1,416.83
1,Barents Sea,11879,0.17,7800:110:4,443.54
1,Barents Sea,11880,0.45,7800:110:3,443.54
1,Barents Sea,11881,0.72,1800:110:3,443.54
1,Barents Sea,11882,0.97,1800:110:4,443.54
1,Barents Sea,11883,1,1800:111:3,443.54
1,Barents Sea,11884,1,1800:111:4,443.54
1,Barents Sea,11885,1,1800:112:3,443.54
1,Barents Sea,11886,1,1800:112:4,443.54
1,Barents Sea,11887,1,1800:113:3,443.54
1,Barents Sea,11888,1,1800:113:4,443.54
1,Barents Sea,11889,1,1800:114:3,443.54
1,Barents Sea,11890,1,1800:114:4,443.54
1,Barents Sea,11891,1,1800:215:3,443.54
1,Barents Sea,11892,1,1800:215:4,443.54
1,Barents Sea,11893,1,1800:216:3,443.54
1,Barents Sea,11894,1,1800:216:4,443.54
1,Barents Sea,11895,1,1800:217:3,443.54
1,Barents Sea,11896,1,1800:217:4,443.54
1,Barents Sea,11897,1,1800:218:3,443.54
1,Barents Sea,11898,1,1800:218:4,443.54
1,Barents Sea,11899,1,1800:219:3,443.54
1,Barents Sea,11900,1,1800:219:4,443.54
1,Barents Sea,11901,1,1801:110:3,443.54
1,Barents Sea,11902,1,1801:110:4,443.54
1,Barents Sea,11903,1,1801:111:3,443.54
1,Barents Sea,11904,1,1801:111:4,443.54
1,Barents Sea,11905,1,1801:112:3,443.54
1,Barents Sea,11906,1,1801:112:4,443.54
1,Barents Sea,11907,1,1801:113:3,443.54
1,Barents Sea,11908,1,1801:113:4,443.54
1,Barents Sea,11909,1,1801:114:3,443.54
1,Barents Sea,11910,1,1801:114:4,443.54
1,Barents Sea,11911,1,1801:215:3,443.54
1,Barents Sea,11912,1,1801:215:4,443.54
1,Barents Sea,11913,1,1801:216:3,443.54
1,Barents Sea,11914,1,1801:216:4,443.54
1,Barents Sea,11915,1,1801:217:3,443.54
1,Barents Sea,11916,1,1801:217:4,443.54
1,Barents Sea,11917,1,1801:218:3,443.54
1,Barents Sea,11918,1,1801:218:4,443.54
1,Barents Sea,11919,1,1801:219:3,443.54
1,Barents Sea,11920,1,1801:219:4,443.54
1,Barents Sea,11921,1,1802:110:3,443.54
1,Barents Sea,11922,1,1802:110:4,443.54
1,Barents Sea,11923,1,1802:111:3,443.54
1,Barents Sea,11924,1,1802:111:4,443.54
1,Barents Sea,11925,1,1802:112:3,443.54
1,Barents Sea,11926,1,1802:112:4,443.54
1,Barents Sea,11927,1,1802:113:3,443.54
1,Barents Sea,11928,1,1802:113:4,443.54
1,Barents Sea,11929,1,1802:114:3,443.54
1,Barents Sea,11930,1,1802:114:4,443.54
1,Barents Sea,11931,1,1802:215:3,443.54
1,Barents Sea,11932,1,1802:215:4,443.54
1,Barents Sea,11933,1,1802:216:3,443.54
1,Barents Sea,11934,1,1802:216:4,443.54
1,Barents Sea,11935,1,1802:217:3,443.54
1,Barents Sea,11936,1,1802:217:4,443.54
1,Barents Sea,11937,1,1802:218:3,443.54
1,Barents Sea,11938,1,1802:218:4,443.54
1,Barents Sea,11939,1,1802:219:3,443.54
1,Barents Sea,11940,1,1802:219:4,443.54
1,Barents Sea,11941,1,1803:110:3,443.54
1,Barents Sea,11942,1,1803:110:4,443.54
1,Barents Sea,11943,1,1803:111:3,443.54
1,Barents Sea,11944,1,1803:111:4,443.54
1,Barents Sea,11945,1,1803:112:3,443.54
1,Barents Sea,11946,1,1803:112:4,443.54
1,Barents Sea,11947,1,1803:113:3,443.54
1,Barents Sea,11948,1,1803:113:4,443.54
1,Barents Sea,11949,1,1803:114:3,443.54
1,Barents Sea,11950,1,1803:114:4,443.54
1,Barents Sea,11951,1,1803:215:3,443.54
1,Barents Sea,11952,1,1803:215:4,443.54
1,Barents Sea,11953,1,1803:216:3,443.54
1,Barents Sea,11954,1,1803:216:4,443.54
1,Barents Sea,11955,1,1803:217:3,443.54
1,Barents Sea,11956,1,1803:217:4,443.54
1,Barents Sea,11957,1,1803:218:3,443.54
1,Barents Sea,11958,1,1803:218:4,443.54
1,Barents Sea,11959,1,1803:219:3,443.54
1,Barents Sea,11960,1,1803:219:4,443.54
1,Barents Sea,11961,1,1804:110:3,443.54
1,Barents Sea,11962,1,1804:110:4,443.54
1,Barents Sea,11963,1,1804:111:3,443.54
1,Barents Sea,11964,1,1804:111:4,443.54
1,Barents Sea,11965,1,1804:112:3,443.54
1,Barents Sea,11966,1,1804:112:4,443.54
1,Barents Sea,11967,1,1804:113:3,443.54
1,Barents Sea,11968,1,1804:113:4,443.54
1,Barents Sea,11969,1,1804:114:3,443.54
1,Barents Sea,11970,1,1804:114:4,443.54
1,Barents Sea,11971,1,1804:215:3,443.54
1,Barents Sea,11972,1,1804:215:4,443.54
1,Barents Sea,11973,1,1804:216:3,443.54
1,Barents Sea,11974,1,1804:216:4,443.54
1,Barents Sea,11975,1,1804:217:3,443.54
1,Barents Sea,11976,1,1804:217:4,443.54
1,Barents Sea,11977,1,1804:218:3,443.54
1,Barents Sea,11978,1,1804:218:4,443.54
1,Barents Sea,11979,1,1804:219:3,443.54
1,Barents Sea,11980,1,1804:219:4,443.54
1,Barents Sea,11981,1,1805:110:3,443.54
1,Barents Sea,11982,1,1805:110:4,443.54
1,Barents Sea,11983,1,1805:111:3,443.54
1,Barents Sea,11984,1,1805:111:4,443.54
1,Barents Sea,11985,1,1805:112:3,443.54
1,Barents Sea,11986,1,1805:112:4,443.54
1,Barents Sea,11987,1,1805:113:3,443.54
1,Barents Sea,11988,1,1805:113:4,443.54
1,Barents Sea,11989,1,1805:114:3,443.54
1,Barents Sea,11990,1,1805:114:4,443.54
1,Barents Sea,11991,1,1805:215:3,443.54
1,Barents Sea,11992,1,1805:215:4,443.54
1,Barents Sea,11993,1,1805:216:3,443.54
1,Barents Sea,11994,1,1805:216:4,443.54
1,Barents Sea,11995,1,1805:217:3,443.54
1,Barents Sea,11996,1,1805:217:4,443.54
1,Barents Sea,11997,1,1805:218:3,443.54
1,Barents Sea,11998,1,1805:218:4,443.54
1,Barents Sea,11999,1,1805:219:3,443.54
