"","SpeciesSSet","Freq","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068"
"FLA","FLA",89,1,-0.00293540391119063,-0.00267916145212066,-0.000824650830073104,-0.00024297194787426,-0.00135604418076962,-0.00207232483290909,-0.00145356286404841,-0.000619125143683341,-8.68102126085901e-05,0.000995919613399288,0.00251281742980858,0.00286467155884385,0.00164840149587864,0.000507348987786038,0.000241516006782128,-0.000601821007465198,-0.00276820221508167,-0.00418950979842592,-0.00298019245020953,-0.000770868285678183,-0.000471887085311096,-0.0018442770554099,-0.00208936750391864,-0.00036086539376079,0.00118129269359368,0.00103701044816784,0.000381612440806478,0.000566429478807251,0.000946194864062555,0.000549023225704381,6.34518106208404e-05,0.000491608183377679,0.00112036350530786,0.000633903465331542,-0.00051848258957321,-0.000654120691289783,0.000505748862849487,0.0013601525043434,0.000782947677103962,-0.000362798991571545,-0.000597046622078601,0.000149387953739755,0.00055304489346053,-0.000356727484239983,-0.00194513143819552,-0.00258547168836465,-0.00153978721884762,-7.15150378463036e-05,-0.000200191850113995,-0.00220614012443932,-0.00412166065561603
"FLA1","FLA1",89,1,-0.00293540391119063,-0.00267916145212066,-0.000824650830073104,-0.00024297194787426,-0.00135604418076962,-0.00207232483290909,-0.00145356286404841,-0.000619125143683341,-8.68102126085901e-05,0.000995919613399288,0.00251281742980858,0.00286467155884385,0.00164840149587864,0.000507348987786038,0.000241516006782128,-0.000601821007465198,-0.00276820221508167,-0.00418950979842592,-0.00298019245020953,-0.000770868285678183,-0.000471887085311096,-0.0018442770554099,-0.00208936750391864,-0.00036086539376079,0.00118129269359368,0.00103701044816784,0.000381612440806478,0.000566429478807251,0.000946194864062555,0.000549023225704381,6.34518106208404e-05,0.000491608183377679,0.00112036350530786,0.000633903465331542,-0.00051848258957321,-0.000654120691289783,0.000505748862849487,0.0013601525043434,0.000782947677103962,-0.000362798991571545,-0.000597046622078601,0.000149387953739755,0.00055304489346053,-0.000356727484239983,-0.00194513143819552,-0.00258547168836465,-0.00153978721884762,-7.15150378463036e-05,-0.000200191850113995,-0.00220614012443932,-0.00412166065561603
"FLA2","FLA2",89,1,-0.00293540391119063,-0.00267916145212066,-0.000824650830073104,-0.00024297194787426,-0.00135604418076962,-0.00207232483290909,-0.00145356286404841,-0.000619125143683341,-8.68102126085901e-05,0.000995919613399288,0.00251281742980858,0.00286467155884385,0.00164840149587864,0.000507348987786038,0.000241516006782128,-0.000601821007465198,-0.00276820221508167,-0.00418950979842592,-0.00298019245020953,-0.000770868285678183,-0.000471887085311096,-0.0018442770554099,-0.00208936750391864,-0.00036086539376079,0.00118129269359368,0.00103701044816784,0.000381612440806478,0.000566429478807251,0.000946194864062555,0.000549023225704381,6.34518106208404e-05,0.000491608183377679,0.00112036350530786,0.000633903465331542,-0.00051848258957321,-0.000654120691289783,0.000505748862849487,0.0013601525043434,0.000782947677103962,-0.000362798991571545,-0.000597046622078601,0.000149387953739755,0.00055304489346053,-0.000356727484239983,-0.00194513143819552,-0.00258547168836465,-0.00153978721884762,-7.15150378463036e-05,-0.000200191850113995,-0.00220614012443932,-0.00412166065561603
"FWH","FWH",89,1,-0.00306372602969773,-0.00296889350287977,-0.00216303147275099,-0.00170776449853793,-0.00194393612787991,-0.00236666620976944,-0.00253016402949857,-0.00218550968291176,-0.0010466067581687,0.000522016221040644,0.00103899537872287,-0.000543999205872225,-0.0029850756570875,-0.00389093915068628,-0.00284794239331188,-0.0018839277641316,-0.00236139152081627,-0.00310352281355897,-0.00264048062641997,-0.00170739407982357,-0.00176939326283421,-0.00218433909607807,-0.00111231786667698,0.00106429626600413,0.00166197224588416,-0.000398129468792696,-0.00275591149659604,-0.00289926040780575,-0.00156989107920591,-0.00119997454425658,-0.00217366262831931,-0.00275931039629551,-0.00225222464982711,-0.0018776656055941,-0.00221961018970429,-0.00188035483961357,0.000127776974244931,0.0021756712418215,0.00184738617904312,-0.000724811306575646,-0.00295737658536321,-0.00310632378047426,-0.00203612225707328,-0.00146837054020832,-0.00175308090090187,-0.00206708087402774,-0.00192912272576695,-0.00158798157490203,-0.00129583342892747,-0.00102372012499341,-0.000812987580339097
"GRH","GRH",89,1,-0.0138389716767602,-0.0105349501850558,-0.00714860538036355,-0.00569737112795199,-0.00502771565863647,-0.0033846953209391,-0.00118161446097353,-6.50958742482999e-05,-0.000298040303642111,-0.000615207704740328,-0.00031057801552592,3.72431045381205e-06,-0.000203318523176677,-0.000543607862625528,-0.000676627098310512,-0.000991510154756625,-0.00167073032532183,-0.00198230550791134,-0.00136162781296001,-0.000544166823509329,-0.000627644306522512,-0.00137817917915584,-0.00152378090193928,-0.000647403976520522,0.000268292407013426,0.00039836859158715,0.000208164492767615,0.000520020401503452,0.00120825354250975,0.00155076642467478,0.00141147740245628,0.00125654481758097,0.00117658286960687,0.000723790309383965,-0.000150561811357086,-0.000716699620658012,-0.000424130765982689,0.000224269738062333,0.000268699157778052,-0.000445626641609742,-0.00113062815552034,-0.00119583101824183,-0.00101718503415782,-0.00125992399165575,-0.00174999271809639,-0.00156150249525666,-0.000332085491600687,0.000959494690762064,0.000975157572376872,-0.00033186865215562,-0.00157949635137733
"HAD","HAD",89,1,0.018741562214859,0.03070431490712,0.0803142676488555,0.110572863205624,0.0855341227171831,0.0309697181753057,-0.0100331262226714,-0.0279557178727812,-0.0401094900055154,-0.0565554273579387,-0.0660948021564227,-0.0452101122585908,0.0193127681568646,0.103072801189262,0.147648246013516,0.115908684120361,0.0391853402968518,-0.0177738109220043,-0.0339276530067938,-0.0408190954967003,-0.058240915793883,-0.0663069722278431,-0.0521022550215724,-0.0379432279485385,-0.0392838881028581,-0.0341197396339918,-0.00498782249335239,0.0222784393209112,0.0168701910651379,-0.00804599651585569,-0.0219500337079737,-0.0273628103650863,-0.0424134227154074,-0.055017444633461,-0.0418032464403675,-0.0181866299048714,-0.0197208444290782,-0.0415649905198938,-0.0471869740145223,-0.0329677185074271,-0.0295855526445221,-0.0382927429465854,-0.026398773076437,0.00358937549975558,0.00606667378560655,-0.0224673975921839,-0.0171243222687485,0.0556017081866713,0.132815495031842,0.145111547593878,0.11813354250414
"HAS","HAS",89,1,-0.00442992884013282,-0.00358502925523618,-0.00112573556607742,-0.000602924287476547,-0.00269277975035953,-0.00438207468922203,-0.00377862216340796,-0.002483822856298,-0.00225324412227845,-0.00236519213655173,-0.00187099188036521,-0.00177283288244423,-0.00290970048293016,-0.00386571380044254,-0.00330121748436563,-0.00257862862588132,-0.0035015995880423,-0.00485649889853734,-0.00411340677304439,-0.00173023439088782,-0.00064888017516429,-0.00165764758165121,-0.00236771737687791,-0.00133010408019318,-0.000192230698925488,-0.000518015457285248,-0.00107110121621989,-0.000151735483614246,0.00131594811900104,0.00127044853399783,-0.000140626022170132,-0.00098423028703154,-0.000689728808556556,-0.000550723232324302,-0.00116200808635458,-0.00145390120439393,-0.000790219495308886,-0.000278284771810799,-0.000999382496648771,-0.00212108859207172,-0.00198409426703572,-0.000521074452017434,0.000536893743314337,-0.000134145483660753,-0.00182527564546708,-0.00266607884254455,-0.0017483753362284,-2.96368705705596e-05,0.00086151773207499,0.000445797847785201,-0.000284248198312298
"HOS","HOS",89,1,-0.000671258795352792,-0.000651004381987619,-0.000542157793537612,-0.000632515529807698,-0.000928689749383871,-0.00111203393553616,-0.00103702732317945,-0.000933368357019404,-0.00104310436958599,-0.00136442943399828,-0.00181279416627689,-0.00229433788513944,-0.00253337223419337,-0.00222428967339194,-0.00154455933758157,-0.0011340334102572,-0.00128502813511311,-0.00149577032557957,-0.00118665290003328,-0.000566293371679016,-0.000329533953043359,-0.000673883295874589,-0.00111590862071687,-0.00123221347365376,-0.00108863413576543,-0.000881642281849615,-0.000635328793052281,-0.000428295969153503,-0.000499891322355062,-0.000851587214992122,-0.00105737946393258,-0.000801394963813706,-0.000394755039655692,-0.000400173492812073,-0.00083856799970139,-0.00112649168223822,-0.00084094978644611,-0.000258394883504209,1.08552741018286e-05,-0.000234055098965236,-0.000582169040478142,-0.000536492968896241,-0.000113006706237151,0.000194009156296637,4.27598641881133e-05,-0.000311850049812712,-0.000360144416028163,-3.18390410933844e-05,0.000227054020671247,0.000111909806514987,-0.000131001733036484
"HWH","HWH",89,1,-0.00129418707753537,-0.00110932910019912,-0.000341079436661396,-5.19862426022755e-05,-0.000415155116323618,-0.000677205444949536,-0.000371238877471924,0.000160413672113613,0.000464991303084972,0.000510673692152075,0.000353264757586125,-9.25273234706481e-05,-0.000650963231572987,-0.00082122815625052,-0.00052153226384366,-0.000403384370146753,-0.000923781009323221,-0.00154375996782541,-0.0014856265994867,-0.000944609374318617,-0.000753238012056734,-0.00100275217017831,-0.00092640314678416,-0.000273703860388608,0.000156489235079604,-0.000200382542997701,-0.000698281783315657,-0.000512421940612739,-2.50111812123421e-05,-0.000242323044535198,-0.00114396345670364,-0.00164891096000197,-0.00125360814171049,-0.000709465070588777,-0.000749905899430914,-0.00102746564493383,-0.000903637034430638,-0.000606647891027379,-0.000798033916782792,-0.00136916596314496,-0.00153613914844719,-0.00105089447014795,-0.000528735544420122,-0.000461688959023654,-0.000607994391678801,-0.000613481953282147,-0.000614199317049646,-0.000818736078675109,-0.00098525630463886,-0.000816687502033453,-0.000530681321832205
"KWH","KWH",89,1,-0.00803087352623244,-0.00800826052738302,-0.00766152681978216,-0.00645652407797304,-0.00480210526334623,-0.00400050744771452,-0.0049871368747727,-0.00736997257022942,-0.00969450323742382,-0.0105206670537505,-0.00948109467864633,-0.00760886088746204,-0.00646037688434564,-0.0065871282382659,-0.00708416276039525,-0.0070500881292741,-0.00714944192558509,-0.00890834798929419,-0.0124522970226648,-0.0158794712777626,-0.0173307455236307,-0.0169670356545231,-0.0162734267945988,-0.0160046665724876,-0.0157134234231959,-0.0150113299271313,-0.0142068295105835,-0.0134588342566406,-0.0121850043620046,-0.00991977172053726,-0.00732099279859266,-0.0057079327702283,-0.00570353420733039,-0.00677398285708275,-0.00811913757170846,-0.00965123786897237,-0.0118769793045459,-0.0148543662010434,-0.0173807067081837,-0.0174196720305231,-0.0136674865780178,-0.00691182468496532,0.00023330975203173,0.00508816553279079,0.00648962198249237,0.00489921898959711,0.0014847811622607,-0.00259253477205235,-0.00632260951583064,-0.00892642456341708,-0.0101192154080785
