"Year","mean_life_span","scenario"
2053,8.44893258915296,"fmsy1"
2054,8.26036147731131,"fmsy1"
2055,8.23839738867924,"fmsy1"
2056,8.27285901302077,"fmsy1"
2057,7.82938404327386,"fmsy1"
2058,8.00670695349573,"fmsy1"
2059,7.74813339868025,"fmsy1"
2060,7.55113285392454,"fmsy1"
2061,8.02363017817909,"fmsy1"
2062,8.25407387521413,"fmsy1"
2063,8.3041722901119,"fmsy1"
2064,8.25486185651253,"fmsy1"
2065,8.27040746001541,"fmsy1"
2066,8.36383148183572,"fmsy1"
2067,8.04780609065945,"fmsy1"
2068,8.23396618968667,"fmsy1"
2015,8.50341186356638,"fmsy11"
2016,9.26286962578621,"fmsy11"
2017,8.9727340965416,"fmsy11"
2018,8.70257246860817,"fmsy11"
2019,8.66414051925704,"fmsy11"
2020,8.60777076791572,"fmsy11"
2021,8.14985107916084,"fmsy11"
2022,8.38864590078006,"fmsy11"
2023,7.63764869139683,"fmsy11"
2024,7.25833497683539,"fmsy11"
2025,8.13522076325485,"fmsy11"
2026,8.3634719951762,"fmsy11"
2027,8.70273817282674,"fmsy11"
2028,8.92175362239546,"fmsy11"
2029,8.61592850847402,"fmsy11"
2030,7.97016677370066,"fmsy11"
2031,8.16892633114802,"fmsy11"
2032,8.64763080462539,"fmsy11"
2033,8.5617914470995,"fmsy11"
2034,8.32851524322434,"fmsy11"
2035,8.26868341990824,"fmsy11"
2036,7.927675999892,"fmsy11"
2037,7.8757699793004,"fmsy11"
2038,8.25013312753165,"fmsy11"
2039,8.26948095667395,"fmsy11"
2040,8.2678428692776,"fmsy11"
2041,8.14181820408182,"fmsy11"
2042,8.13631775888831,"fmsy11"
2043,8.09853966686643,"fmsy11"
2044,7.87947696351717,"fmsy11"
2045,7.72422697536365,"fmsy11"
2046,7.86643176465324,"fmsy11"
2047,8.10891057689111,"fmsy11"
2048,7.44242595685947,"fmsy11"
2049,7.45891733401668,"fmsy11"
2050,8.10073771828097,"fmsy11"
2051,7.95578127619644,"fmsy11"
2052,7.8186441467299,"fmsy11"
2053,8.10286546560471,"fmsy11"
2054,8.26440079585807,"fmsy11"
2055,8.34897808320362,"fmsy11"
2056,8.13567794720018,"fmsy11"
2057,8.01568469304021,"fmsy11"
2058,7.83966616093492,"fmsy11"
2059,7.43978504255782,"fmsy11"
2060,7.66214206742132,"fmsy11"
2061,8.02119242478105,"fmsy11"
2062,8.17294179635534,"fmsy11"
2063,7.89415577908714,"fmsy11"
2064,7.89583051248312,"fmsy11"
2065,8.07319172217906,"fmsy11"
2066,7.85723795795185,"fmsy11"
2067,8.02794315746042,"fmsy11"
2068,8.10001596749981,"fmsy11"
