"Year","total_catch","scenario","total_biomass_landings","inversepressure"
2026,1721178.6256,"fmsy08",44573273.9042,25.8969483127655
2027,1720645.84543,"fmsy08",44756608.2092,26.0115167383646
2028,1715290.66416,"fmsy08",45615288.4004,26.5933286722215
2029,1707086.003,"fmsy08",46084304.2933,26.9958890251061
2030,1688315.63902,"fmsy08",49007118.0806,29.0272250922503
2031,1691986.54425,"fmsy08",51004022.6723,30.1444611634949
2032,1729560.22412,"fmsy08",51590923.354,29.8289256624466
2033,1735220.40847,"fmsy08",51105311.0144,29.4517692190246
2034,1691781.10038,"fmsy08",51781001.2611,30.6073884200912
2035,1705016.1703,"fmsy08",55760136.3727,32.7035821383963
2036,1737113.98062,"fmsy08",58046358.468,33.4153999769678
2037,1725058.49989,"fmsy08",56552372.5202,32.7828723047978
2038,1704174.96055,"fmsy08",59402383.2749,34.8569745771459
2039,1733897.3563,"fmsy08",63849836.3013,36.8244614188411
2040,1750063.46016,"fmsy08",66139884.7806,37.7928493944746
2041,1780123.83231,"fmsy08",69501600.9698,39.0431270613407
2042,1813146.07817,"fmsy08",74141868.8903,40.8912827173479
2043,1874542.94917,"fmsy08",78552101.2219,41.9046686856019
2044,1904055.23247,"fmsy08",82245983.8746,43.1951670687136
2045,1912983.66831,"fmsy08",77646042.3026,40.5889729164261
2046,1908953.74462,"fmsy08",76483399.0178,40.0656114551508
2047,1902199.27813,"fmsy08",78443985.463,41.2385738786086
2048,1910492.01221,"fmsy08",79819898.7038,41.7797604981696
2049,1917942.40891,"fmsy08",78178144.1032,40.7614659022165
2050,1940899.96037,"fmsy08",80636160.4299,41.5457581927757
2051,1962476.96783,"fmsy08",84815190.0774,43.2184384671704
2052,1989154.89734,"fmsy08",83089219.7325,41.7711158862546
2053,1981636.44123,"fmsy08",81771014.1248,41.2643875654834
2054,1973084.19782,"fmsy08",87808367.08225,44.5031018844846
2055,2050163.62947,"fmsy08",84706817.56906,41.3171009140173
2056,1999682.952544,"fmsy08",94089425.18519,47.0521714782282
2057,2086392.434641,"fmsy08",83920055.93573,40.2225652961447
2058,1995226.090526,"fmsy08",91434401.1435,45.826586559619
2059,2148543.826894,"fmsy08",89584429.80733,41.6954165355966
2060,2146833.334673,"fmsy08",97485790.25193,45.4091096301981
2061,2203019.819267,"fmsy08",78358803.80702,35.5688147340826
2062,1998227.388734,"fmsy08",81814596.78156,40.9435869225046
2063,2075593.752732,"fmsy08",94416839.94542,45.4890750278776
2064,2195572.953803,"fmsy08",95099687.62937,43.3142918182909
2065,2227808.713106,"fmsy08",86351060.79334,38.7605364344544
2066,2121398.803451,"fmsy08",83190741.47697,39.2150411990612
2067,2164323.822105,"fmsy08",102294789.15628,47.264086876237
2068,2409161.073319,"fmsy08",135694812.20165,56.3245080224997
2015,1630017.7119,"fmsy1",41259956.16158,25.3125814893668
2016,2401300.52895,"fmsy1",39259697.64941,16.3493478538385
