"Year","TL_all","scenario"
2045,1.35658676179106,"fmsy06"
2046,1.37124250880301,"fmsy06"
2047,1.44326622098782,"fmsy06"
2048,1.35709629730179,"fmsy06"
2049,1.28681091223488,"fmsy06"
2050,1.36679161698054,"fmsy06"
2051,1.34888347813842,"fmsy06"
2052,1.34185225883871,"fmsy06"
2053,1.45999767685341,"fmsy06"
2054,1.47006319316407,"fmsy06"
2055,1.35225164289528,"fmsy06"
2056,1.31481432340375,"fmsy06"
2057,1.42776809814831,"fmsy06"
2058,1.38737558129135,"fmsy06"
2059,1.35753695530277,"fmsy06"
2060,1.32106657259808,"fmsy06"
2061,1.41844923223483,"fmsy06"
2062,1.44128181678739,"fmsy06"
2063,1.38716225963276,"fmsy06"
2064,1.51028694009325,"fmsy06"
2065,1.48944099395105,"fmsy06"
2066,1.41302317559612,"fmsy06"
2067,1.5533697784901,"fmsy06"
2068,1.52077690235661,"fmsy06"
2015,1.1903575369887,"fmsy08"
2016,1.19467563942268,"fmsy08"
2017,1.17139927331772,"fmsy08"
2018,1.14831554283074,"fmsy08"
2019,1.11696305575033,"fmsy08"
2020,1.09650270435582,"fmsy08"
2021,1.17114135723074,"fmsy08"
2022,1.20201225226108,"fmsy08"
2023,1.20312085867074,"fmsy08"
2024,1.23173369204733,"fmsy08"
2025,1.25906800325007,"fmsy08"
2026,1.2484005072515,"fmsy08"
2027,1.28267728021564,"fmsy08"
2028,1.23144088489718,"fmsy08"
2029,1.22372079788671,"fmsy08"
2030,1.25762151299621,"fmsy08"
2031,1.24878116451482,"fmsy08"
2032,1.26598601277106,"fmsy08"
2033,1.21228230547878,"fmsy08"
2034,1.27754867322274,"fmsy08"
2035,1.28209553171457,"fmsy08"
2036,1.23900655973903,"fmsy08"
2037,1.27469547317957,"fmsy08"
2038,1.29277336650183,"fmsy08"
2039,1.2866496728741,"fmsy08"
2040,1.3257827558917,"fmsy08"
2041,1.35773228780854,"fmsy08"
2042,1.39629079262782,"fmsy08"
2043,1.35266148555299,"fmsy08"
2044,1.44808581948081,"fmsy08"
2045,1.38157052092392,"fmsy08"
2046,1.4135762651035,"fmsy08"
2047,1.37232664665906,"fmsy08"
2048,1.3896455169916,"fmsy08"
2049,1.25815207595666,"fmsy08"
2050,1.28208445616738,"fmsy08"
2051,1.27965247053584,"fmsy08"
2052,1.19729187282983,"fmsy08"
2053,1.17075609502229,"fmsy08"
2054,1.45636873997989,"fmsy08"
2055,1.48487072348275,"fmsy08"
2056,1.47503528545329,"fmsy08"
2057,1.39183997378021,"fmsy08"
2058,1.45887586116838,"fmsy08"
2059,1.36681646492887,"fmsy08"
2060,1.42131697181172,"fmsy08"
2061,1.30474523316595,"fmsy08"
2062,1.27288683200497,"fmsy08"
2063,1.34423244814231,"fmsy08"
2064,1.4508414013472,"fmsy08"
2065,1.36807854080399,"fmsy08"
2066,1.4033349204873,"fmsy08"
2067,1.38213596897621,"fmsy08"
2068,1.32109219782508,"fmsy08"
2015,1.1903575369887,"fmsy1"
2016,1.19453728772824,"fmsy1"
2017,1.17120818368761,"fmsy1"
2018,1.14828108777473,"fmsy1"
2019,1.11695943942379,"fmsy1"
2020,1.09631511357938,"fmsy1"
2021,1.1738176007873,"fmsy1"
2022,1.19683241248704,"fmsy1"
2023,1.2062573870786,"fmsy1"
2024,1.20899177556265,"fmsy1"
2025,1.25415436408473,"fmsy1"
2026,1.20100459862739,"fmsy1"
2027,1.2537799805198,"fmsy1"
2028,1.25604869336062,"fmsy1"
2029,1.24575153795688,"fmsy1"
2030,1.18748206758407,"fmsy1"
2031,1.17749742831223,"fmsy1"
2032,1.20676557976914,"fmsy1"
2033,1.18884433860764,"fmsy1"
2034,1.22283049445356,"fmsy1"
2035,1.25423398938417,"fmsy1"
2036,1.31112030770244,"fmsy1"
2037,1.21589561781055,"fmsy1"
2038,1.16787619133034,"fmsy1"
2039,1.22160998325547,"fmsy1"
2040,1.21653093268459,"fmsy1"
2041,1.27169583023385,"fmsy1"
2042,1.27163783985676,"fmsy1"
2043,1.30145471213919,"fmsy1"
2044,1.29173580213047,"fmsy1"
2045,1.22893315147424,"fmsy1"
2046,1.30852711207437,"fmsy1"
2047,1.2612559181302,"fmsy1"
2048,1.23143413316884,"fmsy1"
2049,1.25470139157303,"fmsy1"
2050,1.21698352017732,"fmsy1"
2051,1.20529158518891,"fmsy1"
2052,1.27180197499947,"fmsy1"
2053,1.27720743563546,"fmsy1"
2054,1.29449294799247,"fmsy1"
2055,1.27136578052109,"fmsy1"
2056,1.33967548214743,"fmsy1"
2057,1.33856165318686,"fmsy1"
2058,1.28390306972436,"fmsy1"
2059,1.26169638880655,"fmsy1"
2060,1.23205379705542,"fmsy1"
2061,1.34302773864465,"fmsy1"
2062,1.29080113765061,"fmsy1"
2063,1.23023378508567,"fmsy1"
2064,1.21168599196813,"fmsy1"
2065,1.19292362449931,"fmsy1"
2066,1.32793929808231,"fmsy1"
2067,1.29822652882154,"fmsy1"
2068,1.3363859279611,"fmsy1"
2015,1.1903575369887,"fmsy11"
2016,1.19446597183263,"fmsy11"
2017,1.17111522351491,"fmsy11"
2018,1.14826080236948,"fmsy11"
2019,1.11672745156681,"fmsy11"
2020,1.09639461938345,"fmsy11"
2021,1.17393438189828,"fmsy11"
2022,1.19543620720571,"fmsy11"
2023,1.25596176102311,"fmsy11"
2024,1.25027260462259,"fmsy11"
2025,1.27627952973286,"fmsy11"
2026,1.26316689306045,"fmsy11"
2027,1.31846698105788,"fmsy11"
2028,1.25546197950711,"fmsy11"
2029,1.24687506977102,"fmsy11"
2030,1.2616634705802,"fmsy11"
2031,1.31284028005032,"fmsy11"
2032,1.25800559032735,"fmsy11"
2033,1.26909952983184,"fmsy11"
2034,1.24917412448419,"fmsy11"
2035,1.23132055190434,"fmsy11"
2036,1.32598668048485,"fmsy11"
2037,1.32208622626346,"fmsy11"
2038,1.29777403400215,"fmsy11"
2039,1.27716285965679,"fmsy11"
2040,1.28427560512712,"fmsy11"
2041,1.25147400881295,"fmsy11"
2042,1.21554341369466,"fmsy11"
2043,1.19203502306616,"fmsy11"
2044,1.16469391073468,"fmsy11"
2045,1.13207301519857,"fmsy11"
2046,1.12593415144014,"fmsy11"
2047,1.11088363372073,"fmsy11"
2048,1.37524858595209,"fmsy11"
2049,1.37408174677746,"fmsy11"
2050,1.37916633595332,"fmsy11"
2051,1.26347479821326,"fmsy11"
2052,1.33596842320755,"fmsy11"
2053,1.2876887723767,"fmsy11"
2054,1.34973227142756,"fmsy11"
2055,1.3267295059279,"fmsy11"
2056,1.31148496487184,"fmsy11"
2057,1.39878362037405,"fmsy11"
2058,1.30973044135787,"fmsy11"
2059,1.28826304887907,"fmsy11"
2060,1.29608860623728,"fmsy11"
2061,1.2217295974519,"fmsy11"
2062,1.17674009241937,"fmsy11"
2063,1.21316623986675,"fmsy11"
2064,1.22970171453259,"fmsy11"
2065,1.30515697719898,"fmsy11"
2066,1.28818973433971,"fmsy11"
2067,1.23801269126965,"fmsy11"
2068,1.24902737311304,"fmsy11"
