Binomial,ID,Group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
SSK2,31,Sharks and Rays,99216.62233,99350.51734,99637.84797,100209.0216,100862.9915,101510.5848,102318.1757,103070.828,104043.8484,104688.7253,105439.08,105986.9716,106503.6832,106812.0135,106983.3896,107241.9834,107402.456,107430.751,107575.425,107336.7057,107474.8164,107678.8437,107815.2071,108100.4326,108323.6491,108550.872,108383.719,108478.7585,108600.54,108721.1786,108789.7416,108977.8293,109025.494,109066.2404,109139.2395
SSK3,32,Sharks and Rays,99216.62233,99350.51734,99637.84797,100209.0216,100862.9915,101510.5848,102318.1757,103070.828,104043.8484,104688.7253,105439.08,105986.9716,106503.6832,106812.0135,106983.3896,107241.9834,107402.456,107430.751,107575.425,107336.7057,107474.8164,107678.8437,107815.2071,108100.4326,108323.6491,108550.872,108383.719,108478.7585,108600.54,108721.1786,108789.7416,108977.8293,109025.494,109066.2404,109139.2395
SSK4,33,Sharks and Rays,99216.62233,99350.51734,99637.84797,100209.0216,100862.9915,101510.5848,102318.1757,103070.828,104043.8484,104688.7253,105439.08,105986.9716,106503.6832,106812.0135,106983.3896,107241.9834,107402.456,107430.751,107575.425,107336.7057,107474.8164,107678.8437,107815.2071,108100.4326,108323.6491,108550.872,108383.719,108478.7585,108600.54,108721.1786,108789.7416,108977.8293,109025.494,109066.2404,109139.2395
SSK5,34,Sharks and Rays,99216.62233,99350.51734,99637.84797,100209.0216,100862.9915,101510.5848,102318.1757,103070.828,104043.8484,104688.7253,105439.08,105986.9716,106503.6832,106812.0135,106983.3896,107241.9834,107402.456,107430.751,107575.425,107336.7057,107474.8164,107678.8437,107815.2071,108100.4326,108323.6491,108550.872,108383.719,108478.7585,108600.54,108721.1786,108789.7416,108977.8293,109025.494,109066.2404,109139.2395
SSK6,35,Sharks and Rays,99216.62233,99350.51734,99637.84797,100209.0216,100862.9915,101510.5848,102318.1757,103070.828,104043.8484,104688.7253,105439.08,105986.9716,106503.6832,106812.0135,106983.3896,107241.9834,107402.456,107430.751,107575.425,107336.7057,107474.8164,107678.8437,107815.2071,108100.4326,108323.6491,108550.872,108383.719,108478.7585,108600.54,108721.1786,108789.7416,108977.8293,109025.494,109066.2404,109139.2395
MES,36,Pelagic Fish,4236744.082,4166875.962,4275532.321,4190307.766,4123629.278,4207114.362,4097472.767,4077562.151,4055514.025,4238406.661,4250237.669,4337906.88,4353598.446,4276032.591,4355179.564,4437412.728,4373010.041,4369218.198,4298227.016,4219461.256,4185642.012,4273221.862,4225455.914,4325548.054,4277098.872,4107586.191,4156421.473,4166045.724,4081430.579,4156790.272,4157186.518,4092857.345,4124770.1,4112072.137,3938975.476
MES1,37,Pelagic Fish,4236744.082,4166875.962,4275532.321,4190307.766,4123629.278,4207114.362,4097472.767,4077562.151,4055514.025,4238406.661,4250237.669,4337906.88,4353598.446,4276032.591,4355179.564,4437412.728,4373010.041,4369218.198,4298227.016,4219461.256,4185642.012,4273221.862,4225455.914,4325548.054,4277098.872,4107586.191,4156421.473,4166045.724,4081430.579,4156790.272,4157186.518,4092857.345,4124770.1,4112072.137,3938975.476
GRH,38,Demersal Fish,257346.6925,235178.4367,214994.0359,197496.6266,182197.7691,168848.0961,156966.7444,148047.3037,141765.8904,136451.5674,132348.0363,129733.0842,127366.1723,125419.664,123749.9412,122031.2022,120304.4481,117752.8061,116024.6607,113929.9811,112309.5284,111659.3908,111379.8055,112175.9916,112041.0365,112129.4063,110880.6184,109567.0233,108752.4125,107851.367,107701.8713,107841.9268,107698.5872,107097.9788,107712.7436
MAC,39,Pelagic Fish,2472892.908,2415486.198,2406538.297,2326020.145,2412626.377,2431009.755,2403392.2,2374853.716,2704771.151,2459743.743,2175357.754,2186013.191,2108152.763,2080059.594,2065573.946,2064584.283,2103287.505,2104438.301,2332004.269,2122895.232,2201487.731,2581638.167,2423331.266,2188598.581,2176326.931,2372168.793,2119174.404,2131858.152,2094275.115,2196224.594,2092651.225,2121857.834,2149505.922,2173062.854,2411693.08
HAD,40,Demersal Fish,6332278.304,5210522.582,4397229.843,3795019.423,3365656.085,3066949.37,2833993.333,2660745.518,2529802.528,2434466.587,2353253.005,2298859.305,2270776.005,2252924.382,2241353.113,2218051.339,2196859.897,2180835.754,2140527.352,2108458.629,2103551.903,2100666.605,2100306.974,2094250.313,2083651.851,2061677.776,2028219.812,2022181.287,2034814.947,2036972.169,2044884.807,2044786.992,2035985.413,2031716.839,2037370.49
SAI,41,Pelagic Fish,1202097.07,1130196.625,1052431.062,953338.3476,894250.1523,821135.5831,758115.8521,696971.7438,643586.7088,592345.4832,550240.5565,512055.3601,481446.4723,455990.3384,433124.9641,421741.4928,413289.6092,402130.6482,396169.3541,393334.5306,387378.5265,383823.8577,379672.982,376526.0836,373115.9287,369408.9831,364509.142,360677.9895,356675.3424,354298.2903,352747.8767,351474.4119,348923.7142,348650.9962,350186.4992
RED,42,Demersal Fish,484497.4686,423935.0617,390521.3394,349201.8412,330294.5288,304875.993,263953.5927,249700.4751,237837.337,246663.1449,244754.2145,251092.9303,249987.7541,239787.9656,227323.176,234673.6363,221145.243,212368.5081,192886.6602,227567.5376,220561.6043,209732.4928,205763.1288,196487.3465,199162.937,173386.5977,190029.7092,208159.393,188765.479,179235.5649,190571.9769,181403.3789,179708.3528,195552.4159,170274.9
BWH,43,Pelagic Fish,886476.9426,890940.5614,900722.9981,903013.3648,912247.5073,919436.0321,928309.2145,931200.7463,936535.1734,939210.5598,944840.4531,944130.1949,946524.1523,947560.5747,946946.3856,956286.3506,953322.1688,956422.8658,966595.2248,968271.7199,957713.2791,956362.0533,960355.477,956991.065,954583.8842,964100.527,970159.2603,962402.2944,956269.1229,967360.1406,966371.9966,964866.1296,963485.3883,961475.986,965381.0289
SSH,44,Pelagic Fish,1531346.095,1550260.011,1580233.614,1606003.877,1666541.851,1674694.547,1710906.469,1745258.944,1776304.797,1828473.237,1855290.115,1874211.708,1922224.958,1923479.679,1947690.557,1994209.778,2036929.238,2056278.17,2049559.823,2078105.743,2089890.226,2090761.453,2095754.042,2135168.728,2144049.106,2141043.237,2126413.257,2141342.302,2145735.008,2138969.867,2157175.428,2158349.611,2137451.424,2160788.871,2172160.854
NCO,45,Demersal Fish,1908588.676,1575760.022,1412439.002,1294207.315,1381786.347,1336169.769,1297762.18,1230995.145,1175387.934,1165413.364,1170686.705,1251942.929,1336538.798,1382128.491,1334608.128,1373304.767,1308131.456,1257968.478,1194005.694,1150454.45,1165367.97,1275162.384,1298260.279,1320529.135,1263177.096,1232884.254,1242735.895,1233303.53,1279923.887,1287558.447,1269164.704,1205030.578,1157283.924,1219650.519,1206067.332
PCO,46,Demersal Fish,175487.1594,189776.1176,189116.1846,196519.6206,197643.9565,206722.4937,215339.9813,213877.9046,212223.4423,199261.9265,178928.352,183430.817,173556.1869,168149.3045,167485.8107,165306.6757,162092.2184,167145.3924,173225.5317,173390.8846,174054.3876,162634.6084,153566.6483,163919.9835,176052.3907,178272.8694,179566.5611,178242.5229,177674.5028,171035.4407,177587.1135,170310.6543,174873.9203,162457.8891,163207.576
CAP,47,Pelagic Fish,709647.0449,908199.3338,651747.7347,2311943.785,1642482.496,856131.8049,1017377.802,1668838.476,1413461.86,847815.4946,2041217.396,1125599.526,1595394.182,2346781.629,1476073.843,7342802.235,6081064.41,3171119.106,944457.6703,7876560.917,12692078.41,5570509.25,2417279.702,2997405.451,2566200.022,1972226.658,2161521.179,1892301.345,1494918.059,1210355.497,1474414.788,1103254.645,25518271.96,13761615.02,5190075.828
PWN,48,Invertebrates,47776543.34,86275694.3,33290083.3,34636845.72,43821611.68,64725451.53,31423084.8,76838695.69,36555465.12,54265039,70145580.05,83704786.14,140012266.7,91642320.68,130882751.8,62483556.2,60970936.42,152270965.6,37496308.97,56608980.56,117178383.1,74160955.83,106393141,73087713.39,107768489.1,44164644.5,54650128.77,79114509.1,94589464.51,63548711.32,71174561.95,65300477.93,62383932.11,72955967.74,62262042.46
CEP,49,Invertebrates,19643310.15,18513915.71,17330290.34,15753930.83,17575631.03,19390901.9,18531704.84,15982590.23,15896878.34,16323388.82,16004110.99,16248023.53,15725213.33,15454301.39,15409146.79,17337433.66,17437388.16,16311155.21,17132671.03,16617879.44,15683123.68,16622601.39,17070074.21,16912555.77,16751827.36,17439037.39,18253010.6,17251438.48,17836298.21,18410839.62,17680688.19,16900432.5,17152644.66,17497863.06,19599292.57
KCR,50,Invertebrates,17326531.93,18081948.61,19680472.55,23138150.79,29316300.31,35565624.71,40370025.17,44261283.59,47246472.15,50253199.92,53719099.67,59391968.93,72722992.51,98371541.54,132026436.3,162509374.9,182554399.7,120446852.1,76344343.87,59904112.48,53209155.16,50174691.68,49484445.25,49282318.4,49553905.48,49240725.83,50024860.48,50456492.74,50104332.47,49835947.04,50049312.87,50255691.05,50318772.9,50362737.18,50684784.26
SCR,51,Invertebrates,7534.705432,6498.013,6684.081308,6701.341167,5176.405341,4078.871172,3046.036219,2623.62852,2497.388891,2411.556448,2402.502241,2329.032739,4716.351068,13293.87591,16128.88599,16244.59911,12243.11148,8806.090368,6335.197586,7634.693983,6632.91253,5321.24034,6007.694643,4656.698408,4055.470522,3343.815201,2816.398466,2561.966971,2461.652394,5728.927916,12422.81156,10206.42882,7721.229233,5125.410321,7793.929184
ZG,52,Invertebrates,6468910.688,6876707.92,6869223.098,6882015.328,6847165.699,6855481.414,6809256.564,6811812.901,6777956.757,7031143.811,6976823.168,7009993.802,6960050.148,7055260.832,7123761.367,7624543.766,7904576.953,7850452.451,7804950.544,8045728.805,8408452.535,8365857.226,8586390.664,8548337.488,8721744.259,8685429.054,8651258.298,8870221.257,9214763.022,9358125.592,9363556.283,10169278.02,10164990.58,10120979.71,10405992.7
ZL,53,Invertebrates,408451652.7,381620899.7,370010756.8,387006815.6,360988857.9,321684768.3,296711068.4,305300987.8,296827838.2,358690612.3,392942664.5,382626767.6,401052106.2,387963594.9,382042317.4,389451074.7,330262667.9,303750035.6,285367510.5,298721173.4,373139595.2,335015070.6,446034435.5,390259573.6,378390696.7,363959884.4,330368955.3,337071476.2,308476525.4,333992356.1,337537651.5,379803445,332757832,347354038.1,382150981.8
ZM,54,Invertebrates,199190010.1,293814732.6,245347499.2,265794812.4,196134832.5,431391177.7,213664886.3,198696143.7,185634146.7,214774260.5,170329479.9,208388811.7,226076279.5,148509801.2,394310085.4,257238830.2,197398379.7,260702080.6,290477727.3,200072316.3,151974182.6,245129616.1,167945060.1,225886841.1,225703293.8,156729031.1,214618263.7,228919717.7,183767776.1,245617804.7,271311772.1,184677011.5,222445700.8,255566915,178583775
ZS,55,Invertebrates,36152744.63,21616437.08,28389572,53459442.48,11196614.31,3620093.762,12939277.92,31970486.51,45002478.33,46064991.15,67883197.98,41379733.75,59613941.47,31416858.99,33007312.77,26734907.04,192894.2056,29898537.23,19545649.04,38442687.31,66748908.67,10606566.5,140099301.7,8205276.588,34631468.85,28111769.25,9636412.844,42634580.33,14199626.74,49216916.35,34638446.99,28570355.27,11217764.26,52701347.59,82536390.77
PS,56,Invertebrates,29353882.48,29238064.15,29123991.61,29010576.35,28926673.72,29306499.67,28673243.04,28573561.5,28454051.1,28339603.81,28230768.54,28119609.55,28009993.98,31189445.88,27794613.67,27684395.24,27576523.3,27470419.06,27605950.22,27256669.49,27149721.46,27044434.41,26943253.64,26834012.31,26729755.41,26855847.89,26522014.47,26419539.86,26316387.03,26213602.41,26848007.75,26010010.41,25909807.44,25807907.64,25708022.11
PL,57,Invertebrates,1885791.041,1668655.199,1766413.285,1508321.13,2407662.152,17179742,1755418.531,2135891.379,1996234.664,6896382.835,6370072.285,4881531.932,4391734.74,126521849.6,4042337.829,3549418.134,3160145.89,3040941.273,10447107.05,2384347.611,2518123.12,2244544.102,3787962.416,3388534.764,5453100.891,11841252.26,2774125.237,2496713.128,2284944.642,2301651.851,5009891.881,1779925.95,1844074.614,1606466.334,1482142.878
BC,58,Invertebrates,7998105.608,8274045.791,8521491.539,8834124.535,9166709.868,9500794.896,9859122.882,10216947.3,10560978.83,10871362.82,11114891.48,11239576.44,11178980.07,10915905.48,10567883.59,10296027.82,10188719.53,10243148.14,10414127.27,10625736.47,10861691.84,11104677.17,11341414.39,11561264.46,11758105.12,11928311.69,12073074.44,12196235.3,12302109.1,12395805.6,12485654.95,12574555.72,12665345.12,12762386.26,12864993.42
BFF,59,Invertebrates,4669069.831,4655266.189,4613471.357,4582388.446,4482776.639,4463209.603,4445757.684,4461365.779,4460907.041,4444560.422,4394836.168,4337589.758,4212060.123,4143659.463,4127557.543,4078119.017,4075282.234,4057033.233,4040365.248,4046658.507,4015181.123,3966674.211,4004862.172,4000366.689,3989859.801,3955075.896,3897394.291,3867028.571,3787871.013,3746922.097,3737816.79,3743155.825,3706360.028,3691172.857,3682617.904
SPO,60,Invertebrates,9895839.176,9900744.858,9904669.047,9942776.629,9961863.723,9976412.198,9979122.728,9984682.561,9993137.93,10028705.66,10033981.8,10042151.62,10047238.31,10065764.34,10104734.1,10118181,10142474.49,10153079.23,10162563.21,10182520.78,10225377.9,10234411.74,10243762.4,10258685.62,10279502.13,10327535.68,10340887.63,10352827.38,10362032.05,10376532.95,10394032.87,10434964.87,10444441.83,10457246.81,10475762.04
COR,61,Invertebrates,10441219.56,10427928.12,10405328.92,10694240.05,10767394.4,10836702,10863079.66,10890566.41,10914120.81,11290028.74,11437575.1,11492245.09,11481921.87,11600426.62,12074501.14,12328781.27,12701621.82,12778973.63,12837178.35,13079110.29,13739298.87,13916235.26,14348036.09,14427482.09,14737406.6,15414815.87,15653560.04,16127204.84,16185324.08,16328771.58,16497439.28,17399727.71,17574903.61,18021686.91,18323073.28
