sppid,fg,spp,FGname,CommonName,RLI,RLstatus,LPI,GenLength,model
221,47,Lipophrys pholis,Small demersal fish ,Shanny ,1,LC,0,3.9,0
222,47,Zoarces viviparous,Small demersal fish ,viviparous eelpout,0,NE,0,3.9,1
223,47,Spinachia spinachia,Small demersal fish ,Sea stickleback ,1,LC,0,2,0
224,47,Capros aper,Small demersal fish ,Boar-fish,1,LC,1,4.3,0
225,47,Macroramphosus scolopax,Small demersal fish ,Longspine snipefish,1,LC,0,3.9,0
226,47,Nerophis ophidion,Small demersal fish ,Straightnose pipefish,1,LC,0,1,0
227,47,Polyprion americanus,Small demersal fish ,Wreckfish ,1,DD,0,3.9,0
228,47,Gobiusculus flavescens,Small demersal fish ,Two-spotted goby ,1,LC,0,2,0
229,47,Pomatoschistus lozanoi,Small demersal fish ,Lozano's goby,1,LC,0,2,0
230,47,Leptoclinus maculatus,Small demersal fish ,Daubed shanny,0,NE,1,3.9,0
231,47,Echiichthys vipera,Small demersal fish ,lesser weever,0,NE,1,3.9,1
232,47,Pomatoschistus pictus,Small demersal fish ,Painted goby ,1,LC,0,3.9,0
233,47,Labrus bergylta,Small demersal fish ,Ballan wrasse,1,LC,0,3,1
234,47,Diplecogaster bimaculata,Small demersal fish ,Two-spotted clingfish,1,LC,0,3.9,0
235,47,Microchirus variegatus,Small demersal fish ,thickback sole,1,LC,0,4,1
236,47,Ctenolabrus rupestris,Small demersal fish ,Goldsinny wrasse,1,LC,0,3,0
237,47,Hippocampus hippocampus,Small demersal fish ,Short-snouted seahorse,1,DD,0,2,0
238,47,Mugil cephalus,Small demersal fish ,Grey mullet,1,LC,1,5,1
239,47,Syngnathus rostellatus,Small demersal fish ,Nilsson's pipefish ,1,LC,1,3.9,0
240,47,Micrenophrys lilljeborgii,Small demersal fish ,Norway bullhead ,1,LC,0,3.9,0
241,47,Mullus surmuletus,Small demersal fish ,Red mullet,1,LC,1,2.5,1
242,47,Coris julis,Small demersal fish ,Mediterranean rainbow wrasse,1,LC,1,2,0
243,47,Agonus cataphractus,Small demersal fish ,pogge,1,LC,1,3.5,1
244,47,Pomatoschistus minutus,Small demersal fish ,Sand goby,1,LC,1,2,0
245,47,Cyclopterus lumpus,Small demersal fish ,Lumpfish ,0,NE,1,6,1
246,47,Lumpenus lampretaeformis,Small demersal fish ,snake blenny,0,NE,1,4,1
247,48,Atherina presbyter,Filterfeeding pelagic fish,Sand smelt,1,LC,0,3.5,0
248,48,Alosa fallax,Filterfeeding pelagic fish,Twaite shad,1,LC,1,2.8,0
249,48,Benthosema glaciale,Filterfeeding pelagic fish,Glacier lantern fish ,1,LC,0,2.8,0
250,48,Luvarus imperialis,Filterfeeding pelagic fish,Louvar ,1,LC,0,3.5,0
251,48,Sardina pilchardus,Filterfeeding pelagic fish,sardine,1,LC,1,8.2,1
252,48,Maurolicus muelleri,Filterfeeding pelagic fish,lanternfish,0,NE,0,1.3,1
253,48,Alosa alosa,Filterfeeding pelagic fish,Allis shad,1,LC,0,3.8,0
254,48,Engraulis encrasicolus,Filterfeeding pelagic fish,anchovy,1,LC,1,2,1
255,48,Scomberesox saurus,Filterfeeding pelagic fish,Atlantic saury,1,LC,0,3.5,0
256,48,Cheilopogon heterurus,Filterfeeding pelagic fish,Blotchwing flyingfish ,1,LC,0,3.5,0
257,49,Sepia elegans,Squid & Cuttlefish,Elegant cuttlefish ,1,DD,0,9,0
258,49,Loligo vulgaris,Squid & Cuttlefish,European squid,0,NE,0,9,1
259,49,Sepia officinalis,Squid & Cuttlefish,Common cuttlefish,1,LC,0,9,1
260,49,Loligo forbesi,Squid & Cuttlefish,Veined squid,0,NE,0,9,1
261,49,Todaropsis eblanae,Squid & Cuttlefish,Soft squid,1,LC,0,9,0
262,49,Rossia palpebrosa,Squid & Cuttlefish,Warty bobtail squid,1,LC,0,9,0
263,49,Sepiola rondeleti,Squid & Cuttlefish,Dwarf bobtail squid,1,DD,0,9,0
264,49,Onychoteuthis banksii,Squid & Cuttlefish,,1,DD,0,9,0
265,49,Ommastrephes bartramii,Squid & Cuttlefish,Red squid,1,LC,0,9,0
266,49,Sepiola atlantica,Squid & Cuttlefish,Little cuttlefish,1,DD,0,9,1
267,49,Vitreledonella richardi,Squid & Cuttlefish,Glass octopus,1,LC,0,9,0
268,49,Eledone cirrhosa,Squid & Cuttlefish,Curled octopus,0,NE,0,9,1
269,49,Octopus vulgaris,Squid & Cuttlefish,Octopuses,0,NE,0,9,1
270,49,Illex coindetii,Squid & Cuttlefish,Southern shortfin squid,1,LC,0,9,0
