Num,Species,Gen_len
388,Stictonetta naevosa,7.016339475
389,Hymenolaimus malacorhynchos,7.075555135
390,Tachyeres pteneres,7.766339475
391,Tachyeres leucocephalus,7.766339475
392,Tachyeres brachypterus,7.766339475
393,Tachyeres patachonicus,7.766339475
394,Merganetta armata,7.016339475
395,Plectropterus gambensis,8.516339475
396,Sarkidiornis melanotos,5.382678949
397,Cyanochen cyanoptera,7.766339475
398,Alopochen mauritianus,7.766339475
399,Alopochen aegyptiaca,7.766339475
400,Alopochen kervazoi,7.766339475
401,Neochen jubata,7.766339475
402,Chloephaga melanoptera,8.516339475
403,Chloephaga picta,8.516339475
404,Chloephaga hybrida,8.516339475
405,Chloephaga poliocephala,8.516339475
406,Chloephaga rubidiceps,8.516339475
407,Tadorna ferruginea,10.9375
408,Tadorna cana,10.9375
409,Tadorna tadornoides,10.9375
410,Tadorna variegata,10.9375
411,Tadorna cristata,10.9375
412,Tadorna tadorna,10.9375
413,Tadorna radjah,10.9375
414,Malacorhynchus membranaceus,7.016339475
415,Salvadorina waigiuensis,7.016339475
416,Cairina moschata,7.766339475
417,Cairina scutulata,7.766339475
418,Pteronetta hartlaubii,7.880927786
419,Aix sponsa,7.395408163
420,Aix galericulata,7.395408163
421,Chenonetta jubata,7.016339475
422,Nettapus pulchellus,7.016339475
423,Nettapus coromandelianus,7.016339475
424,Nettapus auritus,7.016339475
425,Amazonetta brasiliensis,7.016339475
426,Callonetta leucophrys,7.016339475
427,Lophonetta specularioides,7.016339475
428,Speculanas specularis,7.016339475
429,Anas poecilorhyncha,6.5723073
430,Anas marecula,6.594002115
431,Anas theodori,6.594002115
432,Anas capensis,6.5723073
433,Anas strepera,7.106183036
434,Anas falcata,6.5723073
435,Anas penelope,6.384298537
436,Anas americana,7.011258224
437,Anas sibilatrix,6.5723073
438,Anas sparsa,6.5723073
439,Anas rubripes,6.690331764
440,Anas fulvigula,6.246394676
441,Anas platyrhynchos,6.610791331
442,Anas wyvilliana,6.893735871
443,Anas laysanensis,6.518735871
444,Anas zonorhyncha,6.594002115
445,Anas luzonica,6.5723073
446,Anas superciliosa,6.5723073
447,Anas undulata,7.159754464
448,Anas melleri,6.5723073
449,Anas discors,6.395737567
450,Anas cyanoptera,6.518735871
451,Anas smithii,6.5723073
452,Anas platalea,6.5723073
453,Anas rhynchotis,6.5723073
454,Anas clypeata,6.456832386
455,Anas bernieri,6.5723073
456,Anas gibberifrons,6.5723073
457,Anas gracilis,6.5723073
458,Anas castanea,6.5723073
459,Anas aucklandica,6.5723073
460,Anas chlorotis,6.5723073
461,Anas nesiotis,6.5723073
462,Anas bahamensis,6.394448342
463,Anas erythrorhyncha,6.5723073
464,Anas flavirostris,6.5723073
465,Anas andium,6.594002115
466,Anas acuta,6.835620265
467,Anas eatoni,6.5723073
468,Anas georgica,6.5723073
469,Anas querquedula,6.518735871
470,Anas formosa,6.5723073
471,Anas crecca,6.326504967
472,Anas puna,6.5723073
473,Anas versicolor,6.5723073
474,Anas hottentota,6.5723073
475,Marmaronetta angustirostris,7.016339475
476,Rhodonessa caryophyllacea,7.016339475
477,Netta rufina,7.016339475
478,Netta peposaca,7.016339475
479,Netta erythrophthalma,7.016339475
480,Aythya ferina,7.640302013
481,Aythya valisineria,8.242959184
482,Aythya americana,7.987857143
483,Aythya collaris,7.436710758
484,Aythya nyroca,7.640302013
485,Aythya innotata,7.68196868
486,Aythya baeri,7.640302013
487,Aythya australis,7.68196868
488,Aythya fuligula,7.289099379
489,Aythya novaeseelandiae,7.68196868
490,Aythya marila,8.155267857
491,Aythya affinis,7.713506494
492,Polysticta stelleri,10.94117647
493,Somateria mollissima,8.997051282
494,Somateria spectabilis,8.997051282
495,Somateria fischeri,8.622051282
496,Histrionicus histrionicus,7.892252747
497,Camptorhynchus labradorius,7.868092068
498,Melanitta nigra,7.514746377
499,Melanitta perspicillata,7.514746377
500,Melanitta fusca,7.514746377
501,Clangula hyemalis,8.953214286
502,Bucephala clangula,8.018851351
503,Bucephala islandica,8.112586705
504,Bucephala albeola,7.366775362
505,Mergellus albellus,5.691339475
506,Lophodytes cucullatus,6.298076923
507,Mergus octosetaceus,7.26
508,Mergus serrator,7.26
509,Mergus squamatus,7.26
510,Mergus merganser,7.26
511,Mergus australis,7.26
512,Heteronetta atricapilla,7.03076461
513,Nomonyx dominicus,7.016339475
514,Oxyura jamaicensis,6.211339475
515,Oxyura leucocephala,6.023839475
516,Oxyura maccoa,6.023839475
517,Oxyura vittata,6.023839475
518,Oxyura australis,6.023839475
519,Biziura lobata,7.016339475
520,Aptenodytes patagonicus,12.69230769
521,Aptenodytes forsteri,20.38461538
522,Pygoscelis papua,7
523,Pygoscelis adeliae,11.9516129
524,Pygoscelis antarcticus,9.882352941
525,Eudyptes chrysocome,11.51939324
526,Eudyptes moseleyi,11.51939324
527,Eudyptes pachyrhynchus,9.634969325
528,Eudyptes robustus,11.13496933
529,Eudyptes sclateri,11.51939324
530,Eudyptes chrysolophus,11.40540541
531,Eudyptes schlegeli,14.14285714
532,Megadyptes antipodes,10.19230769
533,Eudyptula minor,7.628205128
534,Spheniscus demersus,9.263157895
535,Spheniscus humboldti,10.62244898
536,Spheniscus magellanicus,11.66666667
537,Spheniscus mendiculus,11.16666667
538,Gavia stellata,9.792852564
539,Gavia arctica,9.792852564
540,Gavia pacifica,9.792852564
541,Gavia immer,9.792852564
542,Gavia adamsii,9.792852564
543,Phoebastria irrorata,28.3
544,Phoebastria albatrus,24.14954955
545,Phoebastria nigripes,18.76470588
546,Phoebastria immutabilis,28.5
547,Diomedea exulans,23.28571429
