assessment id,taxon id,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Common name,Category,Version,Criteria,PE?,PEW?,Assessment year,Population trend,Marine,Generation length,Depth upper limit,Depth lower limit
907766,162517,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Rossia,Rossia glaucopis,"Loven, 1845",,DD,3.1,,,,2012,4,t,,,
907876,162518,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Austrorossia,Austrorossia bipapillata,"(Sasaki, 1920)",Big-eyed Bobtail Squid,DD,3.1,,,,2012,4,t,,,432
908078,162519,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Neorossia,Neorossia leptodons,"Reid, 1992",,DD,3.1,,,,2012,4,t,,130,1110
908215,162520,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia senta,"Lu and Reid, 1997",,LC,3.1,,,,2012,4,t,,256,426
908353,162521,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Sepiolina,Sepiolina nipponensis,"(Berry, 1911)",Japanese Bobtail Squid,DD,3.1,,,,2012,4,t,,,
908576,162522,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia elongata,"d'Orbigny, 1839-1842 (in Férussac &amp; d'Orbigny 1834-1848)",,DD,3.1,,,,2012,4,t,,,
908776,162523,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Rossia,Rossia macrosoma,"(Chiaie, 1830)",Stout Bobtail Squid,DD,3.1,,,,2012,4,t,,32,899
909251,162524,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia vietnamica,"Khromov, 1987",Viet Nam Cuttlefish,DD,3.1,,,,2012,4,t,,23,104
909453,162525,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia saya,"Khromov, Nikitina &amp; Nesis, 1991",,DD,3.1,,,,2012,4,t,,87,117
909581,162526,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE,Idiosepius,Idiosepius thailandicus,"Chotiyaputta, Okutani &amp; Chaitiamvong, 1991",,DD,3.1,,,,2012,4,t,,,
909765,162527,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIADARIIDAE,Sepiadarium,Sepiadarium kochi,"Steenstrup, 1881",Koch's Bottletail Squid,LC,3.1,,,,2012,4,t,,,60
910154,162528,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepiella,Sepiella weberi,"Adam, 1939",Web's Cuttlefish,DD,3.1,,,,2012,4,t,,,88
910328,162529,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Rossia,Rossia bullisi,"Voss, 1956",,DD,3.1,,,,2012,4,t,,,
910475,162530,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIADARIIDAE,Sepiadarium,Sepiadarium nipponianum,"Berry, 1932",,DD,3.1,,,,2012,4,t,,,
910702,162532,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia dubia,"Adam &amp; Rees, 1966",,DD,3.1,,,,2012,4,t,,25,25
910843,162533,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia vossi,"Khromov, 1996",Voss' Cuttlefish,DD,3.1,,,,2012,4,t,,2,140
911013,162535,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia omani,"Adam &amp; Rees, 1966",Oman Cuttlefish,LC,3.1,,,,2012,4,t,,50,210
911229,162536,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Heteroteuthis,Heteroteuthis dagamensis,"Robson, 1924",,DD,3.1,,,,2012,4,t,,,
911356,162537,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Euprymna,Euprymna phenax,"Voss, 1962",,DD,3.1,,,,2012,4,t,,,
911484,162538,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Metasepia,Metasepia tullbergi,"(Appellöf, 1886)",Paintpot Cuttlefish,DD,3.1,,,,2012,4,t,,20,100
911853,162539,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Sepiola,Sepiola affinis,"Naef, 1912",Analogous Bobtail Squid,DD,3.1,,,,2012,4,t,,20,178
912120,162540,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia tenuipes,"Sasaki, 1929",,DD,3.1,,,,2012,4,t,,100,250
912308,162541,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia mascarensis,"Filippova &amp; Khromov, 1991",,DD,3.1,,,,2012,4,t,,87,325
912464,162542,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia bartletti,"(Iredale, 1954)",,DD,3.1,,,,2012,4,t,,,
912594,162543,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Nectoteuthis,Nectoteuthis pourtalesi,"Verrill, 1883",,DD,3.1,,,,2012,4,t,,,
912737,162544,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia mira,"(Cotton, 1932)",,LC,3.1,,,,2012,4,t,,20,72
912889,162545,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia tuberculata,"Lamarck, 1798",,DD,3.1,,,,2012,4,t,,0,3
913028,162547,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE,Idiosepius,Idiosepius notoides,"Berry, 1921",Southern Pygmy Squid,DD,3.1,,,,2012,4,t,,,
913229,162548,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepiella,Sepiella japonica,"Sasaki, 1929",Japanese Spineless Cuttlefish,DD,3.1,,,,2012,4,t,,,50
913525,162549,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia orbignyana,"Férussac in d'Orbigny, 1826",Pink Cuttlefish,DD,3.1,,,,2012,4,t,,15,570
913995,162550,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIADARIIDAE,Sepiadarium,Sepiadarium austrinum,"Berry, 1921",Southern Bottletail Squid,DD,3.1,,,,2012,4,t,,,
914143,162551,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia faurei,"Roeleveld, 1972",,DD,3.1,,,,2012,4,t,,,168
914284,162552,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Rossia,Rossia palpebrosa,"Owen, 1834",,LC,3.1,,,,2012,4,t,,75,549
914520,162553,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia pulchra,"Roeleveld &amp; Liltved, 1985",,DD,3.1,,,,2012,4,t,,15,50
914661,162554,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia papuensis,"Hoyle, 1885",Papuan Cuttlefish,LC,3.1,,,,2012,4,t,,10,155
