sppid,FGnum,FGname,SppName,CommonName,Named.in.model ,RL,RLstatus,GenL,LPI,Synonym
315,57,Infaunal macrobenthos,Mysella bidentata,bivalve,1,0,N/A,NA,0,Kurtiella bidentata 
316,57,Infaunal macrobenthos,Nuculoma tenuis,Mollusca,1,0,N/A,NA,0,Ennucula tenuis
317,57,Infaunal macrobenthos,Dosinia lupinus,Smooth artemis,1,0,N/A,NA,0,
318,57,Infaunal macrobenthos,Amphiura filiformis,brittle star,1,0,N/A,NA,0,
319,57,Infaunal macrobenthos,Aphrodita aculeata,sea mouse (polychaete),1,0,N/A,NA,0,
320,57,Infaunal macrobenthos,Arctica islandica,Icelandic cyprine,1,0,N/A,NA,0,
321,57,Infaunal macrobenthos,Chamelea gallina,Striped venus clam (bivalve),1,0,N/A,NA,0,
322,57,Infaunal macrobenthos,Echinocardium cordatum,Sea potato,1,0,N/A,NA,0,
323,57,Infaunal macrobenthos,Abra prismatica,Mollusca,1,0,N/A,NA,0,
324,57,Infaunal macrobenthos,Gari fervensis,Faroe sunset shell,1,0,N/A,NA,0,
325,57,Infaunal macrobenthos,Echinocardium flavescens,heart urchin ,1,0,N/A,NA,0,
326,57,Infaunal macrobenthos,Antalis entalis,Tusk shell (mollusc),1,0,N/A,NA,0,
327,57,Infaunal macrobenthos,Phaxas pellucidus,razor shell (bivalve),1,0,N/A,NA,0,
328,57,Infaunal macrobenthos,Echinus esculentus,European edible sea urchin ,0,1,NT,NA,0,
329,58,Shrimp,Crangon crangon,Brown shrimp ,1,0,N/A,NA,0,
330,58,Shrimp,Crangon allmanni,crustacean ,1,0,N/A,NA,0,
331,58,Shrimp,Eualus pusiolus,crustacean ,1,0,N/A,NA,0,
332,58,Shrimp,Pandalus montagui,Aseop shrimp,1,0,N/A,NA,0,
333,58,Shrimp,Spirontocaris lilljeborgi,decapod ,1,0,N/A,NA,0,
334,58,Shrimp,Processa nouveli,Processid shrimp spp (decapod).,1,0,N/A,NA,0,
335,58,Shrimp,Pandalus borealis,Northern shrimp,1,0,N/A,NA,0,
336,59,small mobile epifauna ,Bathyporeia elegans,Arthropoda,1,0,N/A,NA,0,
337,59,small mobile epifauna ,Harpinia antennaria,Arthropoda,1,0,N/A,NA,0,
338,59,small mobile epifauna ,Urothoe poseidonis,Arthropoda,1,0,N/A,NA,0,
339,59,small mobile epifauna ,Eudorellopsis deformis,Arthropoda,1,0,N/A,NA,0,
340,59,small mobile epifauna ,Bathyporeia guilliamsoniana,Arthropoda,1,0,N/A,NA,0,
341,59,small mobile epifauna ,Philine scabra,Mollusca,1,0,N/A,NA,0,
342,59,small mobile epifauna ,Eudorella emarginata,Arthropoda,1,0,N/A,NA,0,
343,60,Small infauna,Minuspio cirrifera,Annelida,1,0,N/A,NA,0,Prionospio cirrifera
344,60,Small infauna,Exogene hebes,Annelida,1,0,N/A,NA,0,Parexogone hebes
345,60,Small infauna,Spio filicornis,Bristleworm (Annelida),1,0,N/A,NA,0,
346,60,Small infauna,Owenia fusiformis,Tubeworm (polychaete),1,0,N/A,NA,0,
347,60,Small infauna,Nephtys cirrosa,polychaete,1,0,N/A,NA,0,
348,60,Small infauna,Ophelia borealis,Ploychaete,1,0,N/A,NA,0,
349,60,Small infauna,Nephtys hombergii,Catworm (polychaete),1,0,N/A,NA,0,
350,60,Small infauna,Gattyana cirrosa,Polychaete,1,0,N/A,NA,0,
351,60,Small infauna,Nephtys longosetosa,catworm (polychaete),1,0,N/A,NA,0,
352,60,Small infauna,Goniada maculata,polychaete,1,0,N/A,NA,0,
353,60,Small infauna,Levinsenia gracilis,Annelida,1,0,N/A,NA,0,
354,60,Small infauna,Pisione remota,Annelida,1,0,N/A,NA,0,
355,60,Small infauna,Amphictene auricoma,Polychaete,1,0,N/A,NA,0,
356,60,Small infauna,Aonides paucibranchiata,Annelida,1,0,N/A,NA,0,
357,60,Small infauna,Notomastus latericeus,Annelida,1,0,N/A,NA,0,
358,60,Small infauna,Paramphinome jeffreysii,Annelida,1,0,N/A,NA,0,
359,60,Small infauna,Protodorvillea kefersteini,Annelida,1,0,N/A,NA,0,
360,60,Small infauna,Lumbrineris latreilli,Annelida,1,0,N/A,NA,0,
361,60,Small infauna,Goniadella bobretzkii,Annelida,1,0,N/A,NA,0,
362,60,Small infauna,Diplocirrus glaucus,Annelida,1,0,N/A,NA,0,
363,60,Small infauna,Nephtys caeca,Catworm (polychaete),1,0,N/A,NA,0,
364,60,Small infauna,Prionospio malmgreni,Annelida,1,0,N/A,NA,0,
365,60,Small infauna,Scalibregma inflatum,Annelida,1,0,N/A,NA,0,
366,60,Small infauna,Poecilochaetus serpens,Annelida,1,0,N/A,NA,0,
367,60,Small infauna,Anobothrus gracilis,Annelida,1,0,N/A,NA,0,
368,60,Small infauna,Nephtys paradoxa,Catworm (Annelida),1,0,N/A,NA,0,
369,60,Small infauna,Glycinde nordmanni,Annelida,1,0,N/A,NA,0,
370,60,Small infauna,Sthenelais limicola,Annelida,1,0,N/A,NA,0,
371,60,Small infauna,Laonice sarsi,Annelida,1,0,N/A,NA,0,
372,60,Small infauna,Scoloplos armiger,Annelida,1,0,N/A,NA,0,
373,61,Sessile epifauna ,Chaetopterus variopedatus,Parchment worm ,1,0,N/A,NA,0,
374,61,Sessile epifauna ,Musculus niger,Black mussel ,1,0,N/A,NA,0,
375,61,Sessile epifauna ,Modiolus modiolus,Horse mussel,1,0,N/A,NA,0,
376,61,Sessile epifauna ,Musculus discors,Green crenella,1,0,N/A,NA,0,
377,61,Sessile epifauna ,Modiolus barbatus,Bearded horse mussel,1,0,N/A,NA,0,
378,61,Sessile epifauna ,Pododesmus patelliformis,Ribbed saddle oyster,1,0,N/A,NA,0,
379,61,Sessile epifauna ,Serpula vermicularis,Tube worm ,1,0,N/A,NA,0,
380,61,Sessile epifauna ,Sabellaria spinulosa,Ross worm ,1,0,N/A,NA,0,
381,61,Sessile epifauna ,Mytilus edulis,Blue mussel,1,0,N/A,NA,0,
382,61,Sessile epifauna ,Ostrea edulis,European flat oyster,1,0,N/A,NA,0,
383,61,Sessile epifauna ,Crassostrea gigas,Pacific cupped oyster,1,N/A,N/A,NA,0,
