CATCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards,
0,0,0,0,0,0.004748453,0.000288796,0.000104731,0,0,0.00434262,0,0.08020002,0.06443844,0.00116534,0.1227848,0.000996462,0.06948084,0.02739473,0.03099631,0.003795141,0.06111019,0.2756718,0.008397819,0.000204043,0.005046057,1.95E-06,0.0216953,0.785875,0.1715775,0.5683305,0.1634016,1.492492,0.06446001,0.001107966,5.61E-06,0.000187089,0.01945427,0.0030881,3.73E-05,0.00213113,0.000559143,1.63E-05,0,9.94E-05,0.000545077,0.1528131,0.01017915,3.16E-06,0,0,0,0,0.01199199,7.84E-05,0.005813073,0.09667438,0.000640067,0,0,0.2359176,0,0,0,0,0,0,0, 
0,0,0,0,0,0.006103624,0.000299623,0.000110698,0,0,0.004430001,0,0.08426484,0.07754052,0.001142822,0.127465,0.001034436,0.08157729,0.02766772,0.03591514,0.00399409,0.05588907,0.2598802,0.01093806,0.000197783,0.007114823,2.00E-06,0.02102681,0.7864148,0.163572,0.5667943,0.1620188,1.446833,0.08325715,0.00112523,5.41E-06,0.000203614,0.02310105,0.003108672,4.10E-05,0.002166557,0.000575384,1.68E-05,0,0.000132421,0.000728928,0.1515531,0.009857734,3.11E-06,0,0,0,0,0.01128118,7.76E-05,0.005796154,0.09657265,0.000625273,0,0,0.2358833,0,0,0,0,0,0,0, 
0,0,0,0,0,0.007439965,0.000315408,0.000113052,0,0,0.004334081,0,0.08815063,0.0814457,0.0010908,0.1224351,0.00104602,0.08446306,0.02924432,0.03554506,0.003891933,0.05326484,0.2516726,0.01156215,0.000189544,0.008922786,1.95E-06,0.02074638,0.7730358,0.1574482,0.5610629,0.1592473,1.424147,0.09064274,0.0011271,5.15E-06,0.000202652,0.02478532,0.003099274,4.24E-05,0.002128599,0.000545914,1.70E-05,0,0.000161264,0.000888513,0.1444695,0.009686305,3.13E-06,0,0,0,0,0.01067157,7.67E-05,0.005776968,0.09648173,0.00062221,0,0,0.2358091,0,0,0,0,0,0,0, 
0,0,0,0,0,0.008474653,0.000329702,0.000113011,0,0,0.00415922,0,0.0904533,0.08001886,0.001068318,0.1170876,0.001094883,0.08397894,0.0308002,0.03425529,0.00372189,0.05388556,0.2522483,0.01150488,0.000187351,0.01015207,1.90E-06,0.02101132,0.7593727,0.1564494,0.5564231,0.1587207,1.431813,0.09353202,0.001125107,4.93E-06,0.000198775,0.02527525,0.003090839,4.26E-05,0.002085061,0.000510074,1.71E-05,0,0.000185351,0.001023718,0.1387784,0.009646262,3.19E-06,0,0,0,0,0.01028172,7.62E-05,0.00576364,0.09645724,0.000624725,0,0,0.2357399,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009159807,0.000341228,0.000112252,0,0,0.004007661,0,0.09170844,0.07679224,0.001065482,0.1150398,0.001143619,0.08403518,0.03116473,0.03414075,0.003635682,0.054924,0.2538132,0.01142501,0.000187539,0.01095882,1.89E-06,0.0211202,0.7510132,0.1579791,0.5545711,0.1594326,1.447165,0.09515881,0.001124247,4.80E-06,0.000196535,0.02539502,0.003086387,4.25E-05,0.00207885,0.00049245,1.72E-05,0,0.000205842,0.001139312,0.1359008,0.00962107,3.23E-06,0,0,0,0,0.01006529,7.61E-05,0.005756362,0.09648687,0.000625786,0,0,0.2357163,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009646608,0.00035005,0.000111492,0,0,0.003903449,0,0.09207439,0.0741786,0.00106773,0.1153958,0.001158054,0.08475959,0.03167024,0.03392692,0.003613936,0.05530268,0.253087,0.01133895,0.000187452,0.0114988,1.91E-06,0.02102798,0.7467418,0.158674,0.5545071,0.1598359,1.455528,0.09614719,0.001125372,4.73E-06,0.000195547,0.02546599,0.003083952,4.23E-05,0.002092461,0.000486654,1.73E-05,0,0.000223167,0.001232964,0.1348237,0.009566766,3.24E-06,0,0,0,0,0.009955955,7.62E-05,0.005753012,0.09653292,0.000625686,0,0,0.2357278,0,0,0,0,0,0,0, 
0,0,0,0,0,0.01000515,0.00035663,0.000110853,0,0,0.003836253,0,0.09181476,0.07224626,0.001069871,0.1164749,0.001155611,0.08545649,0.03169775,0.0337436,0.003611043,0.05550855,0.2519487,0.01119731,0.000187108,0.01187222,1.93E-06,0.02079785,0.7444976,0.1582953,0.5549713,0.1597534,1.456672,0.09675914,0.001127457,4.69E-06,0.000195197,0.02550821,0.003082393,4.22E-05,0.002104299,0.00048306,1.74E-05,0,0.00023777,0.001306795,0.1342174,0.00954711,3.24E-06,0,0,0,0,0.00990223,7.64E-05,0.005751555,0.09656662,0.000625258,0,0,0.2357466,0,0,0,0,0,0,0, 
0,0,0,0,0,0.01027109,0.000361436,0.00011036,0,0,0.003793563,0,0.09157776,0.07086571,0.001072501,0.1174048,0.001154467,0.08589619,0.03146204,0.03373374,0.003611349,0.05585256,0.2519031,0.0110224,0.000187135,0.01212383,1.94E-06,0.02070159,0.7423415,0.1579189,0.555489,0.1597482,1.455552,0.09711883,0.001129537,4.67E-06,0.000195212,0.02552448,0.003080916,4.21E-05,0.002107654,0.000479396,1.75E-05,0,0.000250056,0.001365207,0.1337001,0.009568267,3.25E-06,0,0,0,0,0.009877823,7.66E-05,0.005750771,0.09658027,0.000625157,0,0,0.2357587,0,0,0,0,0,0,0, 
0,0,0,0,0,0.01046731,0.000364874,0.000110018,0,0,0.003767353,0,0.09149334,0.0699062,0.001074707,0.1180047,0.001157829,0.08614362,0.03149124,0.03367788,0.003616351,0.05622748,0.2521444,0.01088782,0.000187241,0.01228184,1.95E-06,0.02073278,0.7404585,0.1576509,0.5559734,0.1599514,1.454651,0.09730207,0.001131135,4.67E-06,0.000195386,0.02552235,0.003079087,4.20E-05,0.002106494,0.000476484,1.76E-05,0,0.000260377,0.001411685,0.1332358,0.009579904,3.25E-06,0,0,0,0,0.009869796,7.68E-05,0.005750074,0.09658131,0.000625129,0,0,0.2357654,0,0,0,0,0,0,0, 
0,0,0,0,0,0.01061099,0.000367287,0.000109799,0,0,0.003751772,0,0.09143702,0.0692921,0.001075644,0.1183181,0.001161194,0.08627146,0.03153677,0.03361851,0.003625762,0.05648672,0.2521802,0.01078328,0.000187283,0.01237074,1.95E-06,0.0207927,0.7397141,0.1574449,0.5563666,0.1601264,1.454249,0.09736536,0.001132199,4.66E-06,0.000195552,0.0255067,0.003077021,4.19E-05,0.002103182,0.000474176,1.76E-05,0,0.00026903,0.001448403,0.1328624,0.009580649,3.25E-06,0,0,0,0,0.009870667,7.70E-05,0.005749351,0.09657817,0.000625088,0,0,0.2357689,0,0,0,0,0,0,0, 
