Time  POB KWH SWH HWH MWH FWH BES HAS HOS RIS SBA SBB SHO DEO PEL PES REO DEL FLA LRD SSK MES GRH MAC HAD SAI RED BWH SSH NCO PCO CAP SCR
6.205000e+03 64.188429 38192.914630 36578.248367 0.000000 266473.745544 301371.012549 3505.661241 56941.061640 38048.390782 1558.505022 13900.735116 3047.945384 148193.844083 1459410.160683 1467412.914027 328941.212577 400290.859890 88952.560276 61217.599468 1375140.227128 151116.143430 25665165.776992 310399.439048 1446221.346690 542156.319422 0.000000 286015.698909 7275003.618987 2190656.472013 547081.242719 1245976.017434 1539907.658893 1715.926683
6.278000e+03 64.188429 38192.914630 36578.248367 0.000000 266473.745544 301371.012549 3505.661241 56932.290903 38048.390782 1558.505022 13900.735116 3047.945384 148193.844083 1459410.160683 1467412.914027 0.000000 400290.859890 88952.560276 0.000000 0.000000 151116.143430 25665165.776992 310399.439048 0.000000 0.000000 3742865.607198 291709.938936 7268770.096251 2372018.883302 554716.276543 1245976.017434 1357749.688893 1806.112862
6.351000e+03 62.695300 38133.379399 36578.248367 0.000000 266473.745544 301371.012549 3505.661241 56932.290903 38309.407663 1554.538907 13900.735116 3047.945384 149380.406873 1396418.871457 1461664.300039 338630.135455 408171.680121 88952.560276 60427.266306 1487407.427115 165087.396756 26001217.971772 310399.439048 1420900.821844 417692.311890 3742865.607198 291709.938936 7268770.096251 2372018.883302 554716.276543 1245976.017434 1357749.688893 1806.112862
6.424000e+03 62.695300 38133.379399 36578.248367 0.000000 266473.745544 301371.012549 3533.400588 56932.290903 38309.407663 1554.538907 14814.398866 3079.717777 149380.406873 1396418.871457 1461664.300039 338630.135455 408171.680121 90467.883298 60427.266306 1487407.427115 165087.396756 26001217.971772 310399.439048 1420900.821844 417692.311890 3742865.607198 291709.938936 7268770.096251 2372018.883302 554716.276543 1245976.017434 1357749.688893 1806.112862
6.497000e+03 62.695300 38133.379399 36578.248367 0.000000 266473.745544 301371.012549 3533.400588 56932.290903 38309.407663 1554.538907 14814.398866 3079.717777 149380.406873 1396418.871457 1461664.300039 338630.135455 408171.680121 90467.883298 60427.266306 1487407.427115 165087.396756 26001217.971772 310399.439048 1420900.821844 417692.311890 3742865.607198 291709.938936 7268770.096251 2372018.883302 554716.276543 1245976.017434 1357749.688893 1806.112862
6.570000e+03 62.695300 38133.379399 35694.844383 0.000000 268409.217295 302575.826114 3533.400588 56932.290903 38309.407663 1554.538907 14814.398866 3079.717777 149380.406873 1396418.871457 1461664.300039 338630.135455 408171.680121 90467.883298 60427.266306 1487407.427115 165087.396756 26001217.971772 319752.862894 1420900.821844 417692.311890 0.000000 291709.938936 7268770.096251 2372018.883302 554716.276543 1239154.439417 1357749.688893 1806.112862
6.643000e+03 62.695300 38133.379399 35694.844383 0.000000 268409.217295 302575.826114 3533.400588 56351.003953 38309.407663 1554.538907 14814.398866 3079.717777 149380.406873 1396418.871457 1461664.300039 0.000000 408171.680121 90467.883298 0.000000 0.000000 165087.396756 26001217.971772 319752.862894 0.000000 0.000000 2742278.162545 297623.187273 7293174.148135 2525032.598714 560710.282064 1239154.439417 1930254.973979 1739.898342
6.716000e+03 61.272711 39501.983885 35694.844383 0.000000 268409.217295 302575.826114 3533.400588 56351.003953 37904.303841 1553.401519 14814.398866 3079.717777 152907.918778 1362697.195390 1462047.470293 352190.250462 415182.529490 90467.883298 60808.129811 1600653.772187 179842.156627 25761530.842276 319752.862894 1420433.205462 386166.423635 2742278.162545 297623.187273 7293174.148135 2525032.598714 560710.282064 1239154.439417 1930254.973979 1739.898342
6.789000e+03 61.272711 39501.983885 35694.844383 0.000000 268409.217295 302575.826114 3572.762412 56351.003953 37904.303841 1553.401519 15719.182885 3133.695776 152907.918778 1362697.195390 1462047.470293 352190.250462 415182.529490 90441.712912 60808.129811 1600653.772187 179842.156627 25761530.842276 319752.862894 1420433.205462 386166.423635 2742278.162545 297623.187273 7293174.148135 2525032.598714 560710.282064 1239154.439417 1930254.973979 1739.898342
6.862000e+03 61.272711 39501.983885 35694.844383 0.000000 268409.217295 302575.826114 3572.762412 56351.003953 37904.303841 1553.401519 15719.182885 3133.695776 152907.918778 1362697.195390 1462047.470293 352190.250462 415182.529490 90441.712912 60808.129811 1600653.772187 179842.156627 25761530.842276 319752.862894 1420433.205462 386166.423635 2742278.162545 297623.187273 7293174.148135 2525032.598714 560710.282064 1239154.439417 1930254.973979 1739.898342
6.935000e+03 61.272711 39501.983885 34823.454570 0.000000 270249.176177 303261.726004 3572.762412 56351.003953 37904.303841 1553.401519 15719.182885 3133.695776 152907.918778 1362697.195390 1462047.470293 352190.250462 415182.529490 90441.712912 60808.129811 1600653.772187 179842.156627 25761530.842276 323766.523464 1420433.205462 386166.423635 0.000000 297623.187273 7293174.148135 2525032.598714 560710.282064 1309229.189453 1930254.973979 1739.898342
7.008000e+03 61.272711 39501.983885 34823.454570 0.000000 270249.176177 303261.726004 3572.762412 55369.046443 37904.303841 1553.401519 15719.182885 3133.695776 152907.918778 1362697.195390 1462047.470293 0.000000 415182.529490 90441.712912 0.000000 0.000000 179842.156627 25761530.842276 323766.523464 0.000000 0.000000 2020863.011738 304881.792345 7319085.389805 2629662.808154 568952.290057 1309229.189453 2034378.405048 1706.782169
7.081000e+03 61.509083 40181.271451 34823.454570 0.000000 270249.176177 303261.726004 3572.762412 55369.046443 38438.597235 1551.104206 15719.182885 3133.695776 156393.437496 1373279.756212 1461208.324675 370410.925288 420911.939310 90441.712912 60954.657254 1690424.794110 193496.612647 27750751.617489 323766.523464 1408964.995929 570972.038275 2020863.011738 304881.792345 7319085.389805 2629662.808154 568952.290057 1309229.189453 2034378.405048 1706.782169
7.154000e+03 61.509083 40181.271451 34823.454570 0.000000 270249.176177 303261.726004 3613.985136 55369.046443 38438.597235 1551.104206 16484.025342 3168.672800 156393.437496 1373279.756212 1461208.324675 370410.925288 420911.939310 92681.632921 60954.657254 1690424.794110 193496.612647 27750751.617489 323766.523464 1408964.995929 570972.038275 2020863.011738 304881.792345 7319085.389805 2629662.808154 568952.290057 1309229.189453 2034378.405048 1706.782169
7.227000e+03 61.509083 40181.271451 34823.454570 0.000000 270249.176177 303261.726004 3613.985136 55369.046443 38438.597235 1551.104206 16484.025342 3168.672800 156393.437496 1373279.756212 1461208.324675 370410.925288 420911.939310 92681.632921 60954.657254 1690424.794110 193496.612647 27750751.617489 323766.523464 1408964.995929 570972.038275 2020863.011738 304881.792345 7319085.389805 2629662.808154 568952.290057 1309229.189453 2034378.405048 1706.782169
7.300000e+03 61.509083 40181.271451 33924.756279 0.000000 271941.361982 303951.047889 3613.985136 55369.046443 38438.597235 1551.104206 16484.025342 3168.672800 156393.437496 1373279.756212 1461208.324675 370410.925288 420911.939310 92681.632921 60954.657254 1690424.794110 193496.612647 27750751.617489 338368.163660 1408964.995929 570972.038275 0.000000 304881.792345 7319085.389805 2629662.808154 568952.290057 1481994.142731 2034378.405048 1706.782169
7.373000e+03 61.509083 40181.271451 33924.756279 0.000000 271941.361982 303951.047889 3613.985136 54800.892907 38438.597235 1551.104206 16484.025342 3168.672800 156393.437496 1373279.756212 1461208.324675 0.000000 420911.939310 92681.632921 0.000000 0.000000 193496.612647 27750751.617489 338368.163660 0.000000 0.000000 1567074.623384 312003.894719 7501863.626494 2805151.698513 553233.748709 1481994.142731 1877554.795613 1879.725832
