"year","DemPP","scenario"
2043,0.00122195029480564,"fmsy11"
2044,0.00102434536592414,"fmsy11"
2045,0.000908711192393782,"fmsy11"
2046,0.000792932266740529,"fmsy11"
2047,0.000674020375311745,"fmsy11"
2048,0.00301816816871127,"fmsy11"
2049,0.00278141876815873,"fmsy11"
2050,0.0028024464963584,"fmsy11"
2051,0.00170893414070126,"fmsy11"
2052,0.00261025013944319,"fmsy11"
2053,0.00200353808225425,"fmsy11"
2054,0.00237363562076665,"fmsy11"
2055,0.00240749101681143,"fmsy11"
2056,0.00204152444395551,"fmsy11"
2057,0.00260205882589144,"fmsy11"
2058,0.00214825525806526,"fmsy11"
2059,0.00186819689776952,"fmsy11"
2060,0.00161123884956685,"fmsy11"
2061,0.00126795936383584,"fmsy11"
2062,0.000984133120752079,"fmsy11"
2063,0.00106319574014577,"fmsy11"
2064,0.00120656097123576,"fmsy11"
2065,0.00154925357720399,"fmsy11"
2066,0.00157159590729957,"fmsy11"
2067,0.00124225427401021,"fmsy11"
2068,0.00118768312891494,"fmsy11"
2016,0.00156078238280965,"fmsy08"
2017,0.00134566479943717,"fmsy08"
2018,0.00113127702433229,"fmsy08"
2019,0.000870100649731107,"fmsy08"
2020,0.000762452761350206,"fmsy08"
2021,0.00137946377452078,"fmsy08"
2022,0.0016501881384018,"fmsy08"
2023,0.00162111989933215,"fmsy08"
2024,0.00188421349689732,"fmsy08"
2025,0.00211775402192218,"fmsy08"
2026,0.00211751531689311,"fmsy08"
2027,0.00220014488474705,"fmsy08"
2028,0.00193164419996575,"fmsy08"
2029,0.00167531581320212,"fmsy08"
2030,0.002023443017633,"fmsy08"
2031,0.00217198944480662,"fmsy08"
2032,0.0021889554041956,"fmsy08"
2033,0.001671083863108,"fmsy08"
2034,0.00226571559282848,"fmsy08"
2035,0.00230602525189998,"fmsy08"
2036,0.00183379591226116,"fmsy08"
2037,0.0023212491062487,"fmsy08"
2038,0.00252331160412431,"fmsy08"
2039,0.00240279802923447,"fmsy08"
2040,0.0025677007639886,"fmsy08"
2041,0.00332692939686646,"fmsy08"
2042,0.00350188927650617,"fmsy08"
2043,0.00318255481094207,"fmsy08"
2044,0.00399007285920164,"fmsy08"
2045,0.0034621434428061,"fmsy08"
2046,0.00352110270491475,"fmsy08"
2047,0.00310753473609558,"fmsy08"
2048,0.00327186582766427,"fmsy08"
2049,0.00198421329318831,"fmsy08"
2050,0.00213430980637193,"fmsy08"
2051,0.00195095518534499,"fmsy08"
2052,0.00134387959634564,"fmsy08"
2053,0.00112408277706305,"fmsy08"
2054,0.00402308843677979,"fmsy08"
2055,0.00428388685913128,"fmsy08"
2056,0.00402570424596045,"fmsy08"
2057,0.00287782289999185,"fmsy08"
2058,0.00398417217726046,"fmsy08"
2059,0.00279827279469562,"fmsy08"
2060,0.00302780869985526,"fmsy08"
2061,0.00218142029586022,"fmsy08"
2062,0.00187514062107973,"fmsy08"
2063,0.00216089980923219,"fmsy08"
2064,0.00346973932631786,"fmsy08"
2065,0.00251845189305862,"fmsy08"
2066,0.00254669891531263,"fmsy08"
2067,0.00249888753743458,"fmsy08"
2068,0.00187162182768713,"fmsy08"
2016,0.00158885071136332,"fmsy06"
2017,0.00138360115273383,"fmsy06"
2018,0.00117175260888231,"fmsy06"
2019,0.000904865349441778,"fmsy06"
2020,0.000795640105223651,"fmsy06"
2021,0.00144265933875849,"fmsy06"
2022,0.00175140419997024,"fmsy06"
2023,0.00173895289971967,"fmsy06"
2024,0.00205316616853862,"fmsy06"
2025,0.00235101135344241,"fmsy06"
2026,0.00250983287702451,"fmsy06"
2027,0.00259911008758476,"fmsy06"
2028,0.00212725183130419,"fmsy06"
2029,0.00190806058499462,"fmsy06"
2030,0.00298917598350983,"fmsy06"
2031,0.00291849127111106,"fmsy06"
2032,0.00259310124871105,"fmsy06"
2033,0.00171506520691154,"fmsy06"
2034,0.0028238752335514,"fmsy06"
2035,0.002691719286133,"fmsy06"
2036,0.00288405605443559,"fmsy06"
2037,0.00311614346999531,"fmsy06"
2038,0.00342360302737087,"fmsy06"
2039,0.00297683476552166,"fmsy06"
2040,0.00293618353853231,"fmsy06"
2041,0.00340627412402528,"fmsy06"
2042,0.00330579767388544,"fmsy06"
2043,0.00361714629959133,"fmsy06"
2044,0.00413842045126458,"fmsy06"
2045,0.00350649440073787,"fmsy06"
2046,0.00339846710998885,"fmsy06"
2047,0.00389151104799052,"fmsy06"
2048,0.00340236077541246,"fmsy06"
2049,0.00231357418466873,"fmsy06"
2050,0.00298277594239535,"fmsy06"
2051,0.00308108480902741,"fmsy06"
2052,0.00278344830769486,"fmsy06"
2053,0.0042596478378493,"fmsy06"
2054,0.004026663472656,"fmsy06"
2055,0.00288407872467689,"fmsy06"
2056,0.00239668623608632,"fmsy06"
2057,0.00332293964262544,"fmsy06"
2058,0.00316401088986747,"fmsy06"
2059,0.00277149722613349,"fmsy06"
2060,0.00230804555324978,"fmsy06"
2061,0.00292540474147202,"fmsy06"
2062,0.00372564542954342,"fmsy06"
2063,0.00290022055807677,"fmsy06"
2064,0.0039035610819632,"fmsy06"
2065,0.00406337546444212,"fmsy06"
2066,0.00298898309497452,"fmsy06"
2067,0.00438510774637159,"fmsy06"
2068,0.00426915063371806,"fmsy06"
