"year","PelBioPP","scenario"
2059,0.00832369003080013,"fmsy06"
2060,0.00695760351320685,"fmsy06"
2061,0.00892304985050714,"fmsy06"
2062,0.0114524742869572,"fmsy06"
2063,0.00897301864287077,"fmsy06"
2064,0.0120743089365889,"fmsy06"
2065,0.0122365448465964,"fmsy06"
2066,0.00899712685354463,"fmsy06"
2067,0.0136553874167943,"fmsy06"
2068,0.0127333255289375,"fmsy06"
