Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
MES,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11382625.23,11289909.76,11554608.3,12091973.87,12598765.52,12844909.99,13103483.04,13629636.5,13687530.64,13919590.65,14183240.87,14718474.85,15305517.93,15411319.19,15412875.38,16088168.48,16107675.07,16125904.37,16389091.23,16391091.19,16151514.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MES2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11382625.23,11289909.76,11554608.3,12091973.87,12598765.52,12844909.99,13103483.04,13629636.5,13687530.64,13919590.65,14183240.87,14718474.85,15305517.93,15411319.19,15412875.38,16088168.48,16107675.07,16125904.37,16389091.23,16391091.19,16151514.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MWH,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274354.3021,275496.3977,276719.7632,283336.273,288270.3107,289927.4495,293006.7306,293215.893,297033.6525,300382.6695,303747.5278,306798.9009,309538.826,312338.2438,314479.1367,316687.1042,319016.9305,321389.2172,323485.8371,325611.6035,328110.4917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCO,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336829.9193,296897.3313,278481.3127,266354.4513,232413.1014,197204.0827,196304.1184,211191.7571,225363.3751,228247.5433,205788.7097,192071.1871,207520.1309,254964.9764,289869.7497,291607.7898,292031.1313,267297.3994,239823.9741,218747.9745,197319.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCO,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606904.361,1728503.075,1822919.025,1781564.276,1824810.9,2009673.419,2168729.537,2221332.543,2484141.96,2577224.064,2572587.978,2383237.341,2244255.247,2077447.176,2176848.6,2299634.549,2430708.44,2527960.231,2613441.399,2631892.742,2743881.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEL,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1477462.026,1469927.605,1462564.967,1456798.266,1459125.02,1469979.624,1484018.544,1494285.249,1500054.13,1501705.854,1493744.441,1484212.959,1472464.13,1463187.808,1460233.903,1450832.372,1439462.656,1431803.901,1426733.473,1423333.706,1427598.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PES,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178559.7697,189052.7432,197610.644,204970.2968,211818.1839,218205.6185,224406.1133,230534.4157,236012.9615,240167.9672,242771.6636,243943.2098,243726.2737,242865.663,241836.863,240355.9545,238403.1638,236274.2199,234082.0866,232505.7306,231761.5731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PES2,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178559.7697,189052.7432,197610.644,204970.2968,211818.1839,218205.6185,224406.1133,230534.4157,236012.9615,240167.9672,242771.6636,243943.2098,243726.2737,242865.663,241836.863,240355.9545,238403.1638,236274.2199,234082.0866,232505.7306,231761.5731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POB,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.60182,60.3575478,60.2076492,60.1314108,60.1655564,60.306892,60.5108604,60.7379076,60.994682,61.2836194,61.5801272,61.8558394,62.1191922,62.3811866,62.6344602,62.8858768,63.1550438,63.4369454,63.7030472,63.935333,64.133005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RED,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323112.3988,327980.0015,349409.8705,372051.5279,372656.0897,378111.6298,381777.4013,379020.3553,375483.0801,369229.1121,364737.0186,372538.717,397165.8129,404395.0841,418776.7661,447844.5221,455516.0928,472027.0406,491673.4975,491720.2317,498042.3769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REO,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306126.5704,263083.7588,231042.3879,207911.1508,192888.5839,183014.7026,175798.4213,169700.7045,164660.8441,160842.9684,157855.5068,154992.9868,151664.898,145957.7801,143708.2616,146701.2358,149460.1187,150121.2778,151155.087,150904.168,148848.9453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIS,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552.888703,1555.024836,1557.973303,1561.901331,1566.597373,1571.104568,1576.460257,1582.535038,1590.782162,1600.436087,1608.438853,1614.226065,1618.925011,1622.685749,1624.803721,1627.45565,1631.591067,1637.284156,1642.904898,1647.519045,1650.822368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAI,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785489.2184,645748.0534,558528.355,505718.9778,462749.136,421106.6542,401934.1959,344197.7226,324748.1402,358528.2128,365888.8285,349441.2376,315974.6338,312680.7973,327675.0638,350051.6106,369276.2314,386222.5672,408967.5976,443765.4906,512023.4806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17618.78523,17929.89519,18232.58618,18523.86392,18802.79444,19062.87298,19298.02417,19511.86144,19710.23215,19895.87885,20064.96216,20221.29662,20358.7375,20476.8102,20577.56377,20660.13336,20737.09099,20810.37254,20878.19746,20937.71342,20984.12175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBB,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3182.382438,3179.560119,3176.752633,3174.193802,3172.77453,3172.956794,3174.531257,3177.296433,3181.057748,3185.693488,3191.224005,3197.458455,3204.27775,3211.587733,3218.977478,3226.287085,3233.51067,3240.299685,3246.371479,3251.751953,3256.123676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHO,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166859.0847,171370.4472,174976.9384,177927.7283,180515.403,182494.6426,183911.9008,184806.7707,185894.1993,186718.7972,186978.8386,187462.4909,187918.4229,188256.2371,188376.08,188554.7017,189044.1596,189571.6259,189734.2752,189950.5726,190266.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSH,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3053093.952,3247263.919,3812074.721,4293528.647,4683592.016,5117688.614,5685470.405,6093542.079,6477680.874,7143844.831,7470678.636,7681402.259,8345704.154,8801178.653,9196116.273,9742666.023,9855770.19,9508567.821,8858345.342,8236982.946,7804907.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSK,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213352.7078,219880.7746,226352.7219,233878.4727,242598.2753,252502.2419,263535.2488,275281.9122,288039.225,301079.4017,313918.9181,326673.3186,338643.9832,350083.4082,360352.4747,369387.8673,377959.0314,385698.4252,392331.3361,399134.9721,406005.1316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWH,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32097.05039,31084.9765,29993.74423,28786.50317,27764.3684,26875.38938,26010.09178,25260.61709,24533.9072,23939.23599,23404.57907,22911.18291,22458.38616,22036.89165,21836.89464,21547.54285,21278.70662,21082.5505,20744.16556,20420.43566,20190.19342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
