Binomial,ID,Group,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
SBB,11,Seabirds,16705.02911,16860.30567,17080.52782,17226.32514,17316.73059,17339.1859,17447.40605,17459.42768,17456.96429,17485.7335,17481.28737,17485.23464,17402.10041,17372.24937,17418.41181,17488.61219,17547.1563,17565.31258,17516.60467,17554.11399,17521.19749,17210.83137,16945.36009,16793.66832,16671.99819,16563.01677,16585.03574,16594.12712,16566.75616,16524.58126,16473.08016,16510.17727,16523.19617,16579.22397,16602.68742,16703.54745,16808.96117,16780.77659,16781.48351,16698.31133,16675.89686,16700.9912,16684.26936,16633.00768,16608.58472,16620.93159,16696.75263,16766.10904,16891.37154,16913.91917,16947.72549,16868.16753,16878.34303,16851.88708,16754.33176,16621.01167,16549.06195,16579.59782,16618.19815,16621.42516,16624.2122,16621.64836,16636.03549,16557.86639,16528.86695,16422.45285,16454.14711,16436.06787,16435.22157,16418.55127,16462.67423,16474.76549,16524.07292,16537.65568,16496.20747,16535.4292,16564.01749,16518.64599,16489.27257,16448.74127,16516.15003,16552.90689,16526.31534,16557.42742,16525.38532,16512.7814,16527.73621,16436.15243,16408.76642
SHO,12,Sharks and Rays,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.50797,23111.32903,22869.51432,22619.35694,22644.56686,22770.23113,22573.4405,22320.94015,22214.03953,22261.03865,22035.53145,22022.61357,22132.04615,22142.30647,21993.55192,21874.61655,21882.15166,21838.40916,21634.70717,21516.88425,21361.17449,21238.98782,21259.61904,21289.85445,21169.46595,20998.01038,21146.18482,21067.55395,21088.14219,20955.96641,21236.62714,21202.17538,21296.3956,21265.8471,21210.78214,21095.67176,21154.08205,21069.20618,20956.21421,20990.37074,21082.88271,20912.93043,20781.62796,20802.21321,20937.66544,20935.47146,20832.934,20785.95955,20616.46102,20643.58911,20768.23398,20708.98891,20736.08903
SHO1,13,Sharks and Rays,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.50797,23111.32903,22869.51432,22619.35694,22644.56686,22770.23113,22573.4405,22320.94015,22214.03953,22261.03865,22035.53145,22022.61357,22132.04615,22142.30647,21993.55192,21874.61655,21882.15166,21838.40916,21634.70717,21516.88425,21361.17449,21238.98782,21259.61904,21289.85445,21169.46595,20998.01038,21146.18482,21067.55395,21088.14219,20955.96641,21236.62714,21202.17538,21296.3956,21265.8471,21210.78214,21095.67176,21154.08205,21069.20618,20956.21421,20990.37074,21082.88271,20912.93043,20781.62796,20802.21321,20937.66544,20935.47146,20832.934,20785.95955,20616.46102,20643.58911,20768.23398,20708.98891,20736.08903
SHO2,14,Sharks and Rays,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.50797,23111.32903,22869.51432,22619.35694,22644.56686,22770.23113,22573.4405,22320.94015,22214.03953,22261.03865,22035.53145,22022.61357,22132.04615,22142.30647,21993.55192,21874.61655,21882.15166,21838.40916,21634.70717,21516.88425,21361.17449,21238.98782,21259.61904,21289.85445,21169.46595,20998.01038,21146.18482,21067.55395,21088.14219,20955.96641,21236.62714,21202.17538,21296.3956,21265.8471,21210.78214,21095.67176,21154.08205,21069.20618,20956.21421,20990.37074,21082.88271,20912.93043,20781.62796,20802.21321,20937.66544,20935.47146,20832.934,20785.95955,20616.46102,20643.58911,20768.23398,20708.98891,20736.08903
DEO,15,Demersal Fish,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1362660.581,1348809.609,1344602.329,1337134.088,1341460.381,1339399.31,1340771.891,1345557.213,1349225.599,1357711.431,1368127.232,1383616.21,1392348.159,1394771.844,1392371.495,1396043.749,1403285.76,1404186.462,1399451.548,1397336.984,1399561.761,1407114.731,1409712.746,1408139.792,1407065.769,1405313.287,1408916.551,1407344.3,1408563.955,1411296.944,1414384.105,1416483.317,1419923.911,1423607.219,1433318.302,1426649.552,1426614.187,1424920.081,1427121.615,1433755.322,1438166.634,1437237.714,1440904.527,1444573.826,1446147.558,1452702.771,1459700.889,1456553.995,1450698.976,1444817.095,1440367.989,1436566.191,1439537.197
DEO1,16,Demersal Fish,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1362660.581,1348809.609,1344602.329,1337134.088,1341460.381,1339399.31,1340771.891,1345557.213,1349225.599,1357711.431,1368127.232,1383616.21,1392348.159,1394771.844,1392371.495,1396043.749,1403285.76,1404186.462,1399451.548,1397336.984,1399561.761,1407114.731,1409712.746,1408139.792,1407065.769,1405313.287,1408916.551,1407344.3,1408563.955,1411296.944,1414384.105,1416483.317,1419923.911,1423607.219,1433318.302,1426649.552,1426614.187,1424920.081,1427121.615,1433755.322,1438166.634,1437237.714,1440904.527,1444573.826,1446147.558,1452702.771,1459700.889,1456553.995,1450698.976,1444817.095,1440367.989,1436566.191,1439537.197
PEL,17,Pelagic Fish,1271226.952,1278799.368,1298546.914,1320486.345,1341272.276,1352172.313,1463855.675,1551675.555,1474029.058,1434740.841,1427653.926,1415148.532,1402611.53,1397589.62,1450390.628,1472271.824,1432142.107,1413995.09,1393977.059,1375977.959,1371353.408,1385118.77,1410602.226,1400418.269,1394813.117,1396270.919,1392174.912,1390321.857,1390598.44,1386460.361,1382586.917,1388235.296,1385722.154,1393896.042,1441364.571,1439818.968,1422301.146,1419919.68,1418815.389,1416390.131,1425821.759,1461043.701,1455015.705,1424573.13,1402988.954,1385010.07,1368262.618,1354061.414,1344671.19,1339562.494,1330722.185,1318192.019,1309237.842,1304303.322,1310649.655,1309691.794,1306135.759,1301880.249,1294156.234,1283427.016,1275678.66,1268322.127,1263075.486,1257012.661,1254333.063,1255586.508,1260021.69,1267341.97,1276845.54,1277938.911,1279093.514,1278184.688,1271762.023,1264093.64,1259188.832,1263698.489,1269372.62,1269015.26,1270777.907,1271154.37,1267096.187,1269661.283,1268988.517,1264882.667,1257848.318,1250174.164,1238810.468,1231872.458,1225041.912
PES,18,Pelagic Fish,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,862394.146,864861.8847,856728.8081,837919.9176,814340.6624,794883.738,766971.8414,736755.5668,703378.5371,668667.5515,642869.551,619143.8963,591975.7789,565425.1943,527437.9483,479670.3439,433557.3227,395032.1383,355085.6159,317904.9915,288470.8035,275539.7623,263684.444,256107.9818,243899.2872,228925.3512,201544.5644,176178.7181,149881.2556,126323.3132,102640.7062,83724.35411,67633.12828,60804.41122,61982.66175,63692.9119,65390.16027,63903.95016,57752.42674,52852.07867,46493.45928,40612.91789,37034.27696,34518.01858,32031.49089,33405.99222,36593.70416,38474.00869,40669.34355,41139.18054,37926.50327,35849.84151,33690.57187
PES1,19,Pelagic Fish,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,862394.146,864861.8847,856728.8081,837919.9176,814340.6624,794883.738,766971.8414,736755.5668,703378.5371,668667.5515,642869.551,619143.8963,591975.7789,565425.1943,527437.9483,479670.3439,433557.3227,395032.1383,355085.6159,317904.9915,288470.8035,275539.7623,263684.444,256107.9818,243899.2872,228925.3512,201544.5644,176178.7181,149881.2556,126323.3132,102640.7062,83724.35411,67633.12828,60804.41122,61982.66175,63692.9119,65390.16027,63903.95016,57752.42674,52852.07867,46493.45928,40612.91789,37034.27696,34518.01858,32031.49089,33405.99222,36593.70416,38474.00869,40669.34355,41139.18054,37926.50327,35849.84151,33690.57187
REO,20,Demersal Fish,321006.9244,289776.4543,263555.7906,241467.973,220177.2451,202013.3188,185572.2763,171204.6784,159324.076,148909.8108,131975.1789,127658.0993,127588.036,127341.4027,125214.6607,126798.4856,124970.7281,122797.6254,115046.1664,105201.6585,99291.0762,98521.14019,98231.21808,100010.749,102340.2283,103656.1129,103367.9814,100989.5172,98368.81417,94538.98014,87419.44096,81641.25305,75246.69543,68392.16488,64598.78391,62184.65978,76965.01612,92778.41327,109796.9413,127253.7223,145254.3755,163679.2211,184784.6919,206018.621,228626.789,254035.3477,282935.6333,312707.6541,341541.5383,372295.9955,398195.3399,426810.9741,453527.9724,481016.5245,505383.2321,530780.8176,556083.0183,582462.9859,605264.3519,629500.431,649239.7196,666693.5627,680930.9593,695283.0081,708691.9559,720832.1772,733003.1298,746212.4723,758167.7473,771467.6024,783779.1846,791905.3184,799983.1283,807965.0904,808739.8168,814807.2134,816214.6961,817073.6924,818309.06,818963.1307,818810.1204,822962.7139,823978.9802,826364.1126,826055.6772,825996.3249,821106.1126,818324.327,816100.085
