"year","score","scenario","type"
2058,0.868628169290994,"national","overall"
2059,0.823870352730499,"national","overall"
2060,0.875697238411053,"national","overall"
2061,0.878897550683869,"national","overall"
2062,0.882169417150528,"national","overall"
2063,0.89114518901476,"national","overall"
2064,0.871835835843902,"national","overall"
2065,0.873845972836801,"national","overall"
2066,0.877297268454976,"national","overall"
2067,0.882099482309899,"national","overall"
2068,0.885114622822734,"national","overall"
1980,1,"global","overall"
1981,0.923851743637491,"global","overall"
1982,0.912482511233855,"global","overall"
1983,0.906424250312808,"global","overall"
1984,0.866505236288913,"global","overall"
1985,0.883332408377587,"global","overall"
1986,0.880524282744761,"global","overall"
1987,0.903635422034307,"global","overall"
1988,0.931950076007772,"global","overall"
1989,0.967474302730149,"global","overall"
1990,0.930559581493856,"global","overall"
1991,0.896718859833369,"global","overall"
1992,0.928482530930219,"global","overall"
1993,0.93082201587369,"global","overall"
1994,0.942163246144022,"global","overall"
1995,0.934224251101112,"global","overall"
1996,0.935122259380877,"global","overall"
1997,0.939328380570225,"global","overall"
1998,0.93732408814424,"global","overall"
1999,0.933435015380919,"global","overall"
2000,0.914565305998072,"global","overall"
2001,0.879476345409926,"global","overall"
2002,0.908824212741403,"global","overall"
2003,0.925261272211754,"global","overall"
2004,0.928910603277991,"global","overall"
2005,0.929287018634359,"global","overall"
2006,0.930279378732581,"global","overall"
2007,0.930057897611341,"global","overall"
2008,0.907140392899795,"global","overall"
2009,0.864393632229188,"global","overall"
2010,0.906551755663554,"global","overall"
2011,0.906349806824243,"global","overall"
2012,0.896826316492338,"global","overall"
2013,0.881183174337475,"global","overall"
2014,0.892778189183893,"global","overall"
2015,0.905765545580936,"global","overall"
2016,0.907462872419592,"global","overall"
2017,0.912984606859903,"global","overall"
2018,0.921126761263757,"global","overall"
2019,0.941215017086422,"global","overall"
2020,0.949327041670274,"global","overall"
2021,0.900110751529046,"global","overall"
2022,0.885578683939584,"global","overall"
2023,0.900366240057466,"global","overall"
2024,0.89603201337059,"global","overall"
2025,0.888886322387388,"global","overall"
2026,0.884282929778451,"global","overall"
2027,0.900653338910158,"global","overall"
2028,0.899627702519292,"global","overall"
2029,0.913943571278369,"global","overall"
2030,0.900839430105476,"global","overall"
2031,0.902456545483546,"global","overall"
2032,0.897513335752256,"global","overall"
2033,0.904114810984653,"global","overall"
2034,0.87143875803539,"global","overall"
2035,0.89031430097772,"global","overall"
2036,0.854019985439178,"global","overall"
2037,0.886931360080073,"global","overall"
2038,0.876164590717093,"global","overall"
2039,0.885231392149782,"global","overall"
2040,0.88320769803606,"global","overall"
2041,0.875287573154042,"global","overall"
2042,0.870308192145299,"global","overall"
2043,0.870989147087527,"global","overall"
2044,0.866461637429376,"global","overall"
2045,0.868942542887623,"global","overall"
2046,0.865110428960817,"global","overall"
2047,0.867152037347321,"global","overall"
2048,0.825151680999171,"global","overall"
2049,0.886834258520949,"global","overall"
2050,0.873839729037488,"global","overall"
2051,0.870476101423469,"global","overall"
2052,0.870397557583252,"global","overall"
2053,0.851534187759692,"global","overall"
2054,0.850482065532411,"global","overall"
2055,0.865738451454713,"global","overall"
2056,0.874356889975765,"global","overall"
2057,0.86990531769419,"global","overall"
2058,0.867889608456381,"global","overall"
2059,0.828162549882557,"global","overall"
2060,0.883135884948781,"global","overall"
2061,0.872856467892269,"global","overall"
2062,0.82806996964628,"global","overall"
2063,0.872930822050948,"global","overall"
2064,0.860260414463769,"global","overall"
2065,0.848928670297284,"global","overall"
2066,0.871720964049174,"global","overall"
2067,0.856257242991165,"global","overall"
2068,0.856979165963559,"global","overall"
