Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58187.0875,0,0,0,0,0,12161.76078,0,488279.6817,24068.61397,25026.27404,0,0,565820.9341,0,154455.8566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61359.2178,0,0,0,0,0,12110.99356,0,489715.2293,23921.54271,25395.22128,0,0,585061.5684,0,96055.18975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61383.3401,0,0,0,0,0,12042.17833,0,490819.12,23673.64723,24618.51086,0,0,573271.7907,0,62132.12239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60909.75574,0,0,0,0,0,11917.38625,0,492260.9655,23580.66275,26938.14128,0,0,586643.5975,0,141773.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61601.00567,0,0,0,0,0,11911.7488,0,495826.5448,23568.17429,26589.35307,0,0,607761.9205,0,150973.7131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59673.73457,0,0,0,0,0,11927.7833,0,496165.077,23427.07689,25002.93918,0,0,594648.0426,0,66172.75074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57354.96311,0,0,0,0,0,11882.18624,0,492931.3682,23393.08609,23764.1771,0,0,578400.1615,0,56461.51646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61453.05608,0,0,0,0,0,12037.38121,0,492385.7141,23573.62094,22069.64763,0,0,589620.5,0,93582.59903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61638.69266,0,0,0,0,0,12057.85924,0,491588.4069,23399.33557,21846.90293,0,0,593531.5167,0,76759.79594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60961.8794,0,0,0,0,0,12018.11806,0,491084.8705,23342.65446,23010.23493,0,0,613957.2504,0,67040.36755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59415.46858,0,0,0,0,0,12001.49239,0,489589.4463,23236.52536,24002.03549,0,0,632293.3825,0,92492.02459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60427.86929,0,0,0,0,0,12063.87886,0,490885.3647,23127.03192,24052.04903,0,0,626584.4463,0,70420.76096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
