Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61694.73976,0,0,0,0,0,12262.33337,0,495921.035,23760.35932,24862.28754,0,0,623546.6528,0,55881.59685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63928.66469,0,0,0,0,0,12287.94748,0,497100.9321,23700.40433,25414.01782,0,0,607778.8215,0,51675.8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60890.45379,0,0,0,0,0,12299.08212,0,496311.3839,23511.28396,24583.93567,0,0,582196.2754,0,728670.5527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58437.91454,0,0,0,0,0,12237.17671,0,493327.6404,23479.45792,24642.86592,0,0,571874.383,0,768268.2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60709.94174,0,0,0,0,0,12226.85496,0,494919.0123,23511.44134,25693.47884,0,0,594767.6233,0,316279.0631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60180.92954,0,0,0,0,0,12308.91712,0,493901.5425,23529.561,21231.73995,0,0,585172.7024,0,121003.4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58496.70575,0,0,0,0,0,12310.51186,0,491037.1559,23548.30796,20204.1854,0,0,585939.7247,0,200813.9897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59371.08981,0,0,0,0,0,12383.82677,0,490564.9233,23549.26832,20017.533,0,0,625366.813,0,298902.2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61571.57734,0,0,0,0,0,12478.96345,0,488856.2253,23473.34703,19903.3299,0,0,602638.9541,0,196334.7852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59244.60729,0,0,0,0,0,12525.30938,0,483588.3924,23476.74158,18278.00834,0,0,579054.7794,0,110673.5903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
