indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
23,Cuvie,BFF,4693638.991,4651851.255,4636175.845,4601155.707,4571689.677,4552446.059,4526762.171,4454419.504,4413346.22,4417883.84,4390329.735,4365027.358,4342685.778,4314893.903,4288002.328,4282596.29,4256859.746,4193910.703,4296796.635,4270798.443,4257865.367,4370959.726,4340767.361,4327262.974,4242414.79,3824879.91,3729038.576,3684486.863,3650689.981,3637300.852,3617185.353,3576104.647,3595154.064,3592951.312,3579678.932
24,Atlantic cod,NCO,2945083.052,2962269.058,3027005.67,3065111.668,2933673.774,2852672.018,2792753.316,2819885.379,2861607.928,2829637.686,2879238.452,2977496.878,3061971.851,2930712.665,2918373.878,2889917.587,2902038.823,3059547.727,2953214.66,2845425.788,2956091.086,2896541.928,2884985.401,2976235.952,3035635.834,3136858.087,3300958.141,3224397.297,3112087.733,2834801.896,2689232.858,2819075.996,2734497.392,2773219.293,2799784.311
25,Golden redfish,RED,542341.363,571789.1291,556726.2892,554216.2409,577173.2732,589110.1441,584719.0384,561858.4602,545512.4328,576771.3365,579620.775,589996.1338,645873.9961,666759.2861,664198.2817,674115.4387,702194.122,695172.5712,720553.6905,737696.8194,758092.6545,750879.8961,709065.7174,761540.8713,801744.1843,798597.0912,796865.1412,785729.1274,764985.7443,791043.7655,755694.5212,729967.3906,752161.7077,682446.4052,673690.8779
26,Minke whale,MWH,951357.429,957836.194,962776.811,964447.5229,964293.915,963314.6402,964934.415,969823.6796,970471.9463,972740.7571,973288.8593,972612.7161,974089.8864,973243.7115,975304.0062,979267.8198,983412.6653,981568.5431,977626.1474,981591.2856,988025.5223,993031.3678,996529.416,999240.3538,1000946.718,1002327.147,1003264.937,1003867.152,1004249.126,1004402.944,1003987.015,1003836.466,1003617.496,1003256.695,1002735.373
27,"Rays, skates",SSK,99072.70036,99199.6555,99275.17098,99352.40757,99736.8482,100246.1467,100829.851,101592.59,102304.7787,103141.6352,103992.3366,104770.1134,105244.7353,105941.5259,106354.6886,106702.1187,106920.4723,107076.8239,107261.7023,107359.1006,107427.1726,107485.9718,107613.3266,107471.1316,107650.5672,107946.5517,108160.723,108401.5374,108557.371,108564.9514,108637.6849,108498.9116,108437.4381,108657.906,108713.8466
28,Dogfish,SHO,553174.9956,566801.6201,576051.7153,587112.2428,595160.9577,600690.7847,605311.2328,611155.0033,613976.7755,616289.5427,619923.0498,621303.0415,621436.5971,623877.6553,623352.4413,624831.2681,625524.7432,629033.3055,626955.1655,625224.3744,624745.4921,625214.9971,625393.0605,626146.1081,626313.3178,626511.4008,626410.9013,625485.1573,622693.8671,621263.8245,619601.2786,620169.0123,619045.1619,617390.297,615638.7323
29,Northern fulmar,SBA,24400.57267,24720.5216,25011.00485,25323.23589,25565.83707,25754.13642,25948.05914,26187.99117,26371.79327,26545.54989,26680.42592,26764.49751,26868.48371,26913.33422,27008.552,27133.05547,27252.61568,27285.99453,27278.59877,27314.66727,27356.73616,27390.56556,27421.43474,27451.89975,27477.05872,27495.47604,27512.50706,27532.76055,27553.98097,27572.5651,27587.58326,27592.17052,27596.97869,27597.42316,27597.24366
30,Northern gannet,SBB,5003.372591,5003.1245,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364
31,Great cormorant,SBB,5003.372591,5003.1245,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364
32,European shag,SBB,5003.372591,5003.1245,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364
