indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
23,Cuvie,BFF,4689450.729,4644550.004,4628857.641,4593239.452,4568731.803,4553229.385,4532039.285,4463963.306,4428572.668,4437184.341,4424843.684,4369479.749,4241341.492,4170873.961,4132859.223,4115823.725,4095882.403,4100805.223,4027083.817,4023184.427,3990060.589,3968873.073,3964147.022,3942746.718,3888021.433,3884705.451,3873618.191,3860214.591,3854695.72,3792625.347,3779800.495,3749429.35,3692351.723,3645128.96,3569153.521
24,Atlantic cod,NCO,2949182.741,2962667.656,2157008.952,1813880.591,1504159.328,1355344.426,1328560.455,1306211.225,1264884.708,1254910.93,1173019.11,1289913.927,1413241.63,1372679.719,1318012.164,1296510.546,1201177.444,1198208.482,1268149.25,1219638.884,1194241.709,1242386.803,1189131.149,1226800.282,1304982.561,1229048.998,1126478.235,1190086.047,1217816.734,1201949.8,1217451.867,1196397.726,1124080.988,1179844.323,1235047.159
25,Golden redfish,RED,543611.8449,569048.1399,510667.4366,474807.304,457472.329,438881.139,412766.7003,366154.4043,329628.5163,320225.7904,320809.5148,290077.3721,321269.1236,336665.4339,333647.7695,307259.5356,304463.727,315592.0228,294838.8651,292935.6327,317582.4836,335862.1131,292017.6555,289110.54,301265.0516,297152.4534,291930.313,297225.9225,269097.7796,277409.1696,276828.8227,282701.8001,275996.6364,271859.5286,287393.2004
26,Minke whale,MWH,951249.7414,957157.4513,962396.269,964239.8448,964122.3013,962824.72,964579.9769,969543.65,970097.1165,972435.268,973144.7369,972450.9458,973715.5511,973082.8122,974973.5541,978995.5501,983145.6036,981344.984,977396.1563,981818.2407,988082.4077,993193.6323,996435.8831,999178.9033,1001025.053,1002373.804,1003302.879,1003896.426,1004019.382,1004263.887,1004284.655,1004113.739,1001038.913,1001352.488,1001122.942
27,"Rays, skates",SSK,99044.60348,99169.84952,99254.63018,99321.2512,99725.24744,100229.0011,100801.8391,101575.1685,102344.3299,103113.0443,103944.8689,104721.5815,105161.365,105884.1277,106363.1591,106713.4922,106872.3339,107095.2522,107284.3245,107434.6757,107522.9167,107577.8092,107625.2399,107517.5308,107712.8355,108057.2853,108290.8944,108476.6661,108694.8002,108556.2954,108634.5302,108729.2846,108628.1382,108708.4386,108858.9816
28,Dogfish,SHO,553018.6305,567175.733,576987.2127,587524.9149,595190.972,600585.5385,605355.3295,611000.9625,613574.6182,616038.745,618683.1906,620018.4647,620699.217,623312.6908,623004.8372,624548.7749,626024.4952,626900.4211,626393.7932,625566.1166,625241.4491,625134.9341,624763.7446,625892.972,626806.6848,627009.2796,624649.9629,624031.7965,622506.2158,623002.2454,621098.7342,622513.7783,622008.4287,621374.141,621887.0038
29,Northern fulmar,SBA,24400.49322,24720.40877,25010.44568,25322.43388,25565.26136,25753.58951,25947.66524,26187.0791,26371.01573,26544.71001,26679.7205,26763.74278,26867.82318,26912.50374,27007.79864,27132.9075,27251.91798,27285.10106,27278.54911,27314.01708,27356.2374,27390.43777,27420.94413,27451.35941,27476.58741,27494.80732,27512.09668,27532.27907,27553.5374,27572.46667,27587.51344,27592.67314,27595.58592,27593.30332,27592.13347
30,Northern gannet,SBB,5003.604261,5003.302634,5002.906572,5012.119776,5020.382728,5025.509313,5030.981645,5033.176963,5039.213541,5043.995294,5048.452144,5054.232301,5057.550189,5057.08253,5061.509168,5073.071094,5078.301506,5080.774008,5081.295658,5085.842944,5088.751328,5090.674627,5091.574281,5090.794032,5089.153417,5087.01978,5084.251902,5081.388015,5078.829726,5075.439178,5071.435899,5066.947273,5062.140997,5056.623357,5051.084965
31,Great cormorant,SBB,5003.604261,5003.302634,5002.906572,5012.119776,5020.382728,5025.509313,5030.981645,5033.176963,5039.213541,5043.995294,5048.452144,5054.232301,5057.550189,5057.08253,5061.509168,5073.071094,5078.301506,5080.774008,5081.295658,5085.842944,5088.751328,5090.674627,5091.574281,5090.794032,5089.153417,5087.01978,5084.251902,5081.388015,5078.829726,5075.439178,5071.435899,5066.947273,5062.140997,5056.623357,5051.084965
32,European shag,SBB,5003.604261,5003.302634,5002.906572,5012.119776,5020.382728,5025.509313,5030.981645,5033.176963,5039.213541,5043.995294,5048.452144,5054.232301,5057.550189,5057.08253,5061.509168,5073.071094,5078.301506,5080.774008,5081.295658,5085.842944,5088.751328,5090.674627,5091.574281,5090.794032,5089.153417,5087.01978,5084.251902,5081.388015,5078.829726,5075.439178,5071.435899,5066.947273,5062.140997,5056.623357,5051.084965
